Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
CUU23,08/21/2023,850,850,850,850,14.25,1.71%,1260,44978
CUU23,08/18/2023,835.75,835.75,835.75,835.75,-10.75,-1.27%,780,44238
CUU23,08/17/2023,846.5,846.5,846.5,846.5,12,1.44%,530,44347
CUU23,08/16/2023,834.5,834.5,834.5,834.5,9,1.09%,40,44307
CUU23,08/15/2023,825.5,825.5,825.5,825.5,15,1.85%,580,44267
CUU23,08/14/2023,810.5,810.5,810.5,810.5,-13.5,-1.64%,660,44640
CUU23,08/11/2023,824,824,824,824,-1.25,-0.15%,480,44420
CUU23,08/10/2023,825.25,825.25,825.25,825.25,-9,-1.08%,1820,44340
CUU23,08/09/2023,834.25,834.25,834.25,834.25,19,2.33%,900,43940
CUU23,08/08/2023,815.25,815.25,815.25,815.25,-24.5,-2.92%,1260,43820
CUU23,08/07/2023,839.75,839.75,839.75,839.75,-17,-1.98%,230,43580
CUU23,08/04/2023,856.75,856.75,856.75,856.75,7.75,0.91%,1440,43430
CUU23,08/03/2023,849,849,849,849,-21.5,-2.47%,1328,42510
CUU23,08/02/2023,870.5,870.5,870.5,870.5,6.5,0.75%,1810,42178
CUU23,08/01/2023,864,864,864,864,-2,-0.23%,1420,41498
CUU23,07/31/2023,866,866,866,866,-20.75,-2.34%,1076,40558
CUU23,07/28/2023,886.75,886.75,886.75,886.75,-10,-1.12%,1016,44466
CUU23,07/27/2023,896.75,896.75,896.75,896.75,-2.5,-0.28%,1050,43770
CUU23,07/26/2023,899.25,899.25,899.25,899.25,2.5,0.28%,290,43995
CUU23,07/25/2023,896.75,896.75,896.75,896.75,-18,-1.97%,1250,43975
CUQ23,07/24/2023,914.75,914.75,914.75,914.75,25.5,2.87%,1100,43900
CUQ23,07/21/2023,889.25,889.25,889.25,889.25,-4.5,-0.50%,320,43240
CUQ23,07/20/2023,893.75,893.75,893.75,893.75,44.75,5.27%,860,43080
CUN23,07/19/2023,849,849,849,849,0,0.00%,0,43020
CUN23,07/18/2023,849,849,849,849,-2.25,-0.26%,520,43020
CUN23,07/17/2023,851.25,851.25,851.25,851.25,1.5,0.18%,1880,42800
CUN23,07/14/2023,849.75,849.75,849.75,849.75,10.75,1.28%,300,42660
CUN23,07/13/2023,839,839,839,839,-3,-0.36%,2030,42760
CUN23,07/12/2023,842,842,842,842,6.75,0.81%,1040,43655
CUN23,07/11/2023,835.25,835.25,835.25,835.25,-5.25,-0.62%,890,43795
CUN23,07/10/2023,840.5,840.5,840.5,840.5,14.25,1.72%,560,44210
CUN23,07/07/2023,826.25,826.25,826.25,826.25,-13.25,-1.58%,120,43990
CUN23,07/06/2023,839.5,839.5,839.5,839.5,6.5,0.78%,820,43870
CUN23,07/05/2023,833,833,833,833,-19.75,-2.32%,3260,43260
CUN23,07/03/2023,852.75,852.75,852.75,852.75,43,5.31%,2720,43460
CUN23,06/30/2023,809.75,809.75,809.75,809.75,5.75,0.72%,844,42450
CUN23,06/29/2023,804,804,804,804,0,0.00%,0,47935
CUN23,06/28/2023,804,804,804,804,16.5,2.10%,2640,47935
CUN23,06/27/2023,787.5,787.5,787.5,787.5,-7,-0.88%,3880,48295
CUN23,06/26/2023,794.5,794.5,794.5,794.5,20,2.58%,800,48235
CUN23,06/23/2023,774.5,774.5,774.5,774.5,6.25,0.81%,400,48235
CUN23,06/22/2023,768.25,768.25,768.25,768.25,-11.25,-1.44%,710,47875
CUN23,06/21/2023,779.5,779.5,779.5,779.5,-25,-3.11%,840,47485
CUN23,06/20/2023,804.5,804.5,804.5,804.5,-7.25,-0.89%,1440,46965
CUN23,06/16/2023,811.75,811.75,811.75,811.75,53.25,7.02%,3000,46685
CUN23,06/15/2023,758.5,758.5,758.5,758.5,11.25,1.51%,1400,47005
CUN23,06/14/2023,747.25,747.25,747.25,747.25,4,0.54%,2730,47305
CUN23,06/13/2023,743.25,743.25,743.25,743.25,15,2.06%,920,47275
