Month,month_start,month_end
2019-01,523.5,538.75
2019-02,562.75,551.0
2019-03,537.5,522.25
2019-04,518.5,526.5
2019-05,507.0,488.5
2019-06,484.75,482.0
2019-07,474.0,481.0
2019-08,498.25,521.0
2019-09,516.25,524.25
2019-10,517.0,540.0
2019-11,589.5,630.0
2019-12,653.75,698.5
2020-01,766.0,717.5
2020-02,635.5,630.0
2020-03,551.75,546.0
2020-04,535.75,504.75
2020-05,481.0,486.25
2020-06,527.75,554.5
2020-07,541.75,593.5
2020-08,640.0,644.75
2020-09,667.75,688.75
2020-10,668.5,700.5
2020-11,707.0,792.25
2020-12,812.75,847.75
2021-01,915.0,872.5
2021-02,845.75,876.0
2021-03,891.5,932.0
2021-04,883.0,925.25
2021-05,962.75,1009.0
2021-06,936.25,883.25
2021-07,882.75,968.75
2021-08,958.0,1022.5
2021-09,996.75,1045.0
2021-10,1066.75,1177.0
2021-11,1177.5,1173.25
2021-12,1087.5,1100.5
2022-01,1142.0,1234.0
2022-02,1313.0,1364.25
2022-03,1550.0,1490.25
2022-04,1299.75,1463.75
2022-05,1588.5,1445.0
2022-06,1427.5,1257.25
2022-07,1066.25,892.5
2022-08,915.5,921.25
2022-09,893.0,813.25
2022-10,741.0,827.0
2022-11,897.0,901.5
2022-12,926.5,898.75
2023-01,964.5,909.25
2023-02,897.25,923.0
2023-03,929.5,881.0
2023-04,868.5,843.25
2023-05,747.25,777.25
2023-06,711.75,762.0
2023-07,852.75,860.25
2023-08,859.5,836.0
