Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
01/29/2021,872.5,872.5,872.5,872.5,1.25,+0.14%,0,0
01/28/2021,871.25,871.25,871.25,871.25,0,0.00%,0,590
01/27/2021,871.25,871.25,871.25,871.25,3.25,+0.37%,0,590
01/26/2021,868,868,868,868,1,+0.12%,0,590
01/25/2021,867,867,867,867,-2.5,-0.29%,0,590
01/22/2021,869.5,869.5,869.5,869.5,-0.25,-0.03%,0,590
01/21/2021,869.75,869.75,869.75,869.75,5.75,+0.67%,0,590
01/20/2021,864,864,864,864,-4.25,-0.49%,0,590
01/19/2021,868.25,868.25,868.25,868.25,-6.5,-0.74%,0,590
01/15/2021,874.75,874.75,874.75,874.75,-12,-1.35%,0,590
01/14/2021,886.75,886.75,886.75,886.75,-21.5,-2.37%,0,590
01/13/2021,908.25,908.25,908.25,908.25,2.25,+0.25%,0,590
01/12/2021,906,906,906,906,-21.25,-2.29%,0,590
01/11/2021,927.25,927.25,927.25,927.25,-5.25,-0.56%,0,590
01/08/2021,932.5,932.5,932.5,932.5,-1.5,-0.16%,0,590
01/07/2021,934,934,934,934,-11.25,-1.19%,0,590
01/06/2021,945.25,945.25,945.25,945.25,25.75,+2.80%,0,590
01/05/2021,919.5,919.5,919.5,919.5,4.5,+0.49%,0,590
01/04/2021,915,915,915,915,37.75,+4.30%,0,590
12/31/2020,877.25,877.25,877.25,877.25,6.5,+0.75%,0,590
12/30/2020,870.75,870.75,870.75,870.75,22.25,+2.62%,0,590
12/29/2020,848.5,848.5,848.5,848.5,-8,-0.93%,0,590
12/28/2020,856.5,856.5,856.5,856.5,-6.5,-0.75%,240,590
12/24/2020,863,863,863,863,7.75,+0.91%,0,830
12/23/2020,855.25,855.25,855.25,855.25,26,+3.14%,200,830
12/22/2020,829.25,829.25,829.25,829.25,0.75,+0.09%,0,830
12/21/2020,828.5,828.5,828.5,828.5,-11.75,-1.40%,0,830
12/18/2020,840.25,840.25,840.25,840.25,13,+1.57%,40,830
12/17/2020,827.25,827.25,827.25,827.25,5.75,+0.70%,80,830
12/16/2020,821.5,821.5,821.5,821.5,5.5,+0.67%,373,830
12/15/2020,816,816,816,816,0.75,+0.09%,0,830
12/14/2020,815.25,815.25,815.25,815.25,13,+1.62%,120,830
12/11/2020,802.25,802.25,802.25,802.25,2,+0.25%,0,773
12/10/2020,800.25,800.25,800.25,800.25,9.75,+1.23%,0,773
12/09/2020,790.5,790.5,790.5,790.5,1.75,+0.22%,0,773
12/08/2020,788.75,788.75,788.75,788.75,-8.75,-1.10%,0,773
12/07/2020,797.5,797.5,797.5,797.5,-11.25,-1.39%,200,773
12/04/2020,808.75,808.75,808.75,808.75,25.5,+3.26%,0,773
12/03/2020,783.25,783.25,783.25,783.25,0.5,+0.06%,0,773
12/02/2020,782.75,782.75,782.75,782.75,-13,-1.63%,0,773
12/01/2020,795.75,795.75,795.75,795.75,7.5,+0.95%,160,773
11/30/2020,788.25,788.25,788.25,788.25,-6.75,-0.85%,200,773
11/27/2020,795,795,795,795,16,+2.05%,0,813
11/25/2020,779,779,779,779,9.75,+1.27%,0,813
11/24/2020,769.25,769.25,769.25,769.25,-18.25,-2.32%,0,813
11/23/2020,787.5,787.5,787.5,787.5,11.75,+1.51%,30,813
11/20/2020,775.75,775.75,775.75,775.75,-12,-1.52%,0,843
11/19/2020,787.75,787.75,787.75,787.75,-5.25,-0.66%,40,843
11/18/2020,793,793,793,793,25.75,+3.36%,40,803
11/17/2020,767.25,767.25,767.25,767.25,2.75,+0.36%,40,763
11/16/2020,764.5,764.5,764.5,764.5,0.5,+0.07%,40,723
11/13/2020,764,764,764,764,0.5,+0.07%,0,683
11/12/2020,763.5,763.5,763.5,763.5,5.25,+0.69%,0,683
11/11/2020,758.25,758.25,758.25,758.25,20.25,+2.74%,0,683
