Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
02/28/2023,923,923,923,923,-1,-0.11%,0,0
02/27/2023,924,924,924,924,-0.25,-0.03%,0,5711
02/24/2023,924.25,924.25,924.25,924.25,-1.25,-0.14%,0,5711
02/23/2023,925.5,925.5,925.5,925.5,4.75,+0.52%,0,5711
02/22/2023,920.75,920.75,920.75,920.75,0,0.00%,0,5711
02/21/2023,920.75,920.75,920.75,920.75,1,+0.11%,0,5711
02/17/2023,919.75,919.75,919.75,919.75,4,+0.44%,0,5711
02/16/2023,915.75,915.75,915.75,915.75,11,+1.22%,0,5711
02/15/2023,904.75,904.75,904.75,904.75,-5,-0.55%,0,5711
02/14/2023,909.75,909.75,909.75,909.75,5.5,+0.61%,0,5711
02/13/2023,904.25,904.25,904.25,904.25,-5,-0.55%,0,5711
02/10/2023,909.25,909.25,909.25,909.25,-10.5,-1.14%,0,5711
02/09/2023,919.75,919.75,919.75,919.75,-5.75,-0.62%,0,5711
02/08/2023,925.5,925.5,925.5,925.5,12,+1.31%,0,5711
02/07/2023,913.5,913.5,913.5,913.5,11.25,+1.25%,0,5711
02/06/2023,902.25,902.25,902.25,902.25,0,0.00%,0,5711
02/03/2023,902.25,902.25,902.25,902.25,14.75,+1.66%,0,5711
02/02/2023,887.5,887.5,887.5,887.5,-9.75,-1.09%,0,5711
02/01/2023,897.25,897.25,897.25,897.25,0,0.00%,0,5711
01/31/2023,897.25,897.25,897.25,897.25,-31,-3.34%,0,5711
01/30/2023,928.25,928.25,928.25,928.25,6,+0.65%,0,5711
01/27/2023,922.25,922.25,922.25,922.25,31.25,+3.51%,200,5711
01/26/2023,891,891,891,891,8.25,+0.93%,200,5511
01/25/2023,882.75,882.75,882.75,882.75,-28,-3.07%,0,5511
01/24/2023,910.75,910.75,910.75,910.75,0,0.00%,0,5511
01/23/2023,910.75,910.75,910.75,910.75,0,0.00%,0,5511
01/20/2023,910.75,910.75,910.75,910.75,6.75,+0.75%,0,5511
01/19/2023,904,904,904,904,6.25,+0.70%,145,5511
01/18/2023,897.75,897.75,897.75,897.75,18.75,+2.13%,640,5511
01/17/2023,879,879,879,879,-9.25,-1.04%,500,5791
01/13/2023,888.25,888.25,888.25,888.25,-13,-1.44%,40,5791
01/12/2023,901.25,901.25,901.25,901.25,3.75,+0.42%,100,5791
01/11/2023,897.5,897.5,897.5,897.5,-15.75,-1.72%,410,5731
01/10/2023,913.25,913.25,913.25,913.25,-29.75,-3.15%,310,5931
01/09/2023,943,943,943,943,23.5,+2.56%,120,6200
01/06/2023,919.5,919.5,919.5,919.5,-10.75,-1.16%,60,6320
01/05/2023,930.25,930.25,930.25,930.25,-11.5,-1.22%,0,6280
01/04/2023,941.75,941.75,941.75,941.75,-17.75,-1.85%,280,6280
01/03/2023,959.5,959.5,959.5,959.5,16,+1.70%,0,6440
12/30/2022,943.5,943.5,943.5,943.5,20.25,+2.19%,0,6440
12/29/2022,923.25,923.25,923.25,923.25,0.75,+0.08%,440,6440
