Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
03/31/2021,932,932,932,932,0.25,+0.03%,0,0
03/30/2021,931.75,931.75,931.75,931.75,-3.75,-0.40%,0,694
03/29/2021,935.5,935.5,935.5,935.5,2,+0.21%,0,694
03/26/2021,933.5,933.5,933.5,933.5,-7.75,-0.82%,0,694
03/25/2021,941.25,941.25,941.25,941.25,-3.5,-0.37%,0,694
03/24/2021,944.75,944.75,944.75,944.75,-1.5,-0.16%,0,694
03/23/2021,946.25,946.25,946.25,946.25,6.25,+0.66%,0,694
03/22/2021,940,940,940,940,10.75,+1.16%,0,694
03/19/2021,929.25,929.25,929.25,929.25,-8,-0.85%,0,694
03/18/2021,937.25,937.25,937.25,937.25,-13.5,-1.42%,0,694
03/17/2021,950.75,950.75,950.75,950.75,4,+0.42%,0,694
03/16/2021,946.75,946.75,946.75,946.75,-15.5,-1.61%,0,694
03/15/2021,962.25,962.25,962.25,962.25,4,+0.42%,0,694
03/12/2021,958.25,958.25,958.25,958.25,10.75,+1.13%,0,694
03/11/2021,947.5,947.5,947.5,947.5,14.25,+1.53%,0,694
03/10/2021,933.25,933.25,933.25,933.25,10,+1.08%,0,694
03/09/2021,923.25,923.25,923.25,923.25,1,+0.11%,0,694
03/08/2021,922.25,922.25,922.25,922.25,23.5,+2.61%,0,694
03/05/2021,898.75,898.75,898.75,898.75,-1,-0.11%,86,694
03/04/2021,899.75,899.75,899.75,899.75,9.25,+1.04%,0,724
03/03/2021,890.5,890.5,890.5,890.5,8.75,+0.99%,0,724
03/02/2021,881.75,881.75,881.75,881.75,-9.75,-1.09%,0,724
03/01/2021,891.5,891.5,891.5,891.5,-13.75,-1.52%,0,724
02/26/2021,905.25,905.25,905.25,905.25,-13,-1.42%,0,724
02/25/2021,918.25,918.25,918.25,918.25,33.5,+3.79%,124,724
02/24/2021,884.75,884.75,884.75,884.75,-2,-0.23%,64,724
02/23/2021,886.75,886.75,886.75,886.75,29,+3.38%,232,660
02/22/2021,857.75,857.75,857.75,857.75,3.25,+0.38%,0,660
02/19/2021,854.5,854.5,854.5,854.5,10.25,+1.21%,0,660
02/18/2021,844.25,844.25,844.25,844.25,-33.75,-3.84%,40,660
02/17/2021,878,878,878,878,22.75,+2.66%,240,660
02/16/2021,855.25,855.25,855.25,855.25,46.75,+5.78%,40,860
02/12/2021,808.5,808.5,808.5,808.5,0,0.00%,0,860
02/11/2021,808.5,808.5,808.5,808.5,-18.25,-2.21%,0,860
02/10/2021,826.75,826.75,826.75,826.75,12.25,+1.50%,0,860
02/09/2021,814.5,814.5,814.5,814.5,29.75,+3.79%,120,860
02/08/2021,784.75,784.75,784.75,784.75,9,+1.16%,0,860
02/05/2021,775.75,775.75,775.75,775.75,8,+1.04%,0,860
02/04/2021,767.75,767.75,767.75,767.75,7,+0.92%,0,860
02/03/2021,760.75,760.75,760.75,760.75,-35.75,-4.49%,0,860
02/02/2021,796.5,796.5,796.5,796.5,-19,-2.33%,0,860
02/01/2021,815.5,815.5,815.5,815.5,0,0.00%,0,860
01/29/2021,815.5,815.5,815.5,815.5,14.5,+1.81%,20,860
01/28/2021,801,801,801,801,0,0.00%,0,840
01/27/2021,801,801,801,801,28.75,+3.72%,30,840
01/26/2021,772.25,772.25,772.25,772.25,5.5,+0.72%,0,840
01/25/2021,766.75,766.75,766.75,766.75,-14,-1.79%,120,840
01/22/2021,780.75,780.75,780.75,780.75,-6.75,-0.86%,320,764
01/21/2021,787.5,787.5,787.5,787.5,12.5,+1.61%,0,924
01/20/2021,775,775,775,775,-7.75,-0.99%,0,924
01/19/2021,782.75,782.75,782.75,782.75,-8.25,-1.04%,60,924
01/15/2021,791,791,791,791,-20.25,-2.50%,40,904
01/14/2021,811.25,811.25,811.25,811.25,-29.75,-3.54%,0,864
01/13/2021,841,841,841,841,2.25,+0.27%,0,864
01/12/2021,838.75,838.75,838.75,838.75,-28.25,-3.26%,0,864
01/11/2021,867,867,867,867,-9.25,-1.06%,0,864
01/08/2021,876.25,876.25,876.25,876.25,2.25,+0.26%,0,864
01/07/2021,874,874,874,874,-11.75,-1.33%,0,864
01/06/2021,885.75,885.75,885.75,885.75,29.75,+3.48%,0,864
01/05/2021,856,856,856,856,4.25,+0.50%,50,864
01/04/2021,851.75,851.75,851.75,851.75,30,+3.65%,0,864
12/31/2020,821.75,821.75,821.75,821.75,7,+0.86%,0,864
12/30/2020,814.75,814.75,814.75,814.75,13,+1.62%,0,864
12/29/2020,801.75,801.75,801.75,801.75,1.5,+0.19%,0,864
12/28/2020,800.25,800.25,800.25,800.25,-9,-1.11%,0,864
12/24/2020,809.25,809.25,809.25,809.25,3.75,+0.47%,0,864
12/23/2020,805.5,805.5,805.5,805.5,20,+2.55%,0,864
12/22/2020,785.5,785.5,785.5,785.5,-0.75,-0.10%,0,864
12/21/2020,786.25,786.25,786.25,786.25,-12,-1.50%,0,864
12/18/2020,798.25,798.25,798.25,798.25,10.75,+1.37%,40,864
12/17/2020,787.5,787.5,787.5,787.5,6.25,+0.80%,0,904
12/16/2020,781.25,781.25,781.25,781.25,10.5,+1.36%,200,904
12/15/2020,770.75,770.75,770.75,770.75,0.25,+0.03%,0,1104
12/14/2020,770.5,770.5,770.5,770.5,11.25,+1.48%,0,1104
12/11/2020,759.25,759.25,759.25,759.25,2.5,+0.33%,0,1104
12/10/2020,756.75,756.75,756.75,756.75,7.25,+0.97%,0,1104
12/09/2020,749.5,749.5,749.5,749.5,0.75,+0.10%,0,1104
12/08/2020,748.75,748.75,748.75,748.75,-7,-0.93%,20,1104
12/07/2020,755.75,755.75,755.75,755.75,-9.25,-1.21%,200,1084
12/04/2020,765,765,765,765,21.25,+2.86%,30,884
12/03/2020,743.75,743.75,743.75,743.75,-3,-0.40%,66,854
12/02/2020,746.75,746.75,746.75,746.75,-13.75,-1.81%,0,798
12/01/2020,760.5,760.5,760.5,760.5,3.75,+0.50%,0,798
11/30/2020,756.75,756.75,756.75,756.75,-4.75,-0.62%,0,798
11/27/2020,761.5,761.5,761.5,761.5,12.75,+1.70%,10,798
11/25/2020,748.75,748.75,748.75,748.75,11.25,+1.53%,0,788
11/24/2020,737.5,737.5,737.5,737.5,-16,-2.12%,0,788
11/23/2020,753.5,753.5,753.5,753.5,10.5,+1.41%,0,788
11/20/2020,743,743,743,743,-7.75,-1.03%,0,788
11/19/2020,750.75,750.75,750.75,750.75,-5,-0.66%,0,788
11/18/2020,755.75,755.75,755.75,755.75,28.5,+3.92%,0,788
11/17/2020,727.25,727.25,727.25,727.25,6.5,+0.90%,0,788
11/16/2020,720.75,720.75,720.75,720.75,2.5,+0.35%,0,788
11/13/2020,718.25,718.25,718.25,718.25,-1.25,-0.17%,0,788
11/12/2020,719.5,719.5,719.5,719.5,1.75,+0.24%,0,788
11/11/2020,717.75,717.75,717.75,717.75,15,+2.13%,0,788
11/10/2020,702.75,702.75,702.75,702.75,4,+0.57%,0,788
11/09/2020,698.75,698.75,698.75,698.75,10.75,+1.56%,0,788
11/06/2020,688,688,688,688,-1.5,-0.22%,0,788
11/05/2020,689.5,689.5,689.5,689.5,24.25,+3.65%,0,788
11/04/2020,665.25,665.25,665.25,665.25,1.25,+0.19%,0,788
11/03/2020,664,664,664,664,12.25,+1.88%,0,788
11/02/2020,651.75,651.75,651.75,651.75,-0.75,-0.11%,0,788
10/30/2020,652.5,652.5,652.5,652.5,-10.5,-1.58%,10,788
