Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/30/2021,925.25,925.25,925.25,925.25,-0.75,-0.08%,0,0
04/29/2021,926,926,926,926,0,0.00%,0,294
04/28/2021,926,926,926,926,-3.25,-0.35%,0,294
04/27/2021,929.25,929.25,929.25,929.25,6.5,+0.70%,0,294
04/26/2021,922.75,922.75,922.75,922.75,-1.5,-0.16%,0,294
04/23/2021,924.25,924.25,924.25,924.25,-3.5,-0.38%,0,294
04/22/2021,927.75,927.75,927.75,927.75,7,+0.76%,0,294
04/21/2021,920.75,920.75,920.75,920.75,7.25,+0.79%,0,294
04/20/2021,913.5,913.5,913.5,913.5,9.75,+1.08%,0,294
04/19/2021,903.75,903.75,903.75,903.75,-1,-0.11%,0,294
04/16/2021,904.75,904.75,904.75,904.75,14.5,+1.63%,0,294
04/15/2021,890.25,890.25,890.25,890.25,10,+1.14%,0,294
04/14/2021,880.25,880.25,880.25,880.25,1,+0.11%,0,294
04/13/2021,879.25,879.25,879.25,879.25,11.25,+1.30%,0,294
04/12/2021,868,868,868,868,-18.75,-2.11%,0,294
04/09/2021,886.75,886.75,886.75,886.75,-6.5,-0.73%,0,294
04/08/2021,893.25,893.25,893.25,893.25,-13.5,-1.49%,0,294
04/07/2021,906.75,906.75,906.75,906.75,9,+1.00%,0,294
04/06/2021,897.75,897.75,897.75,897.75,14.5,+1.64%,35,294
04/05/2021,883.25,883.25,883.25,883.25,0.25,+0.03%,0,329
04/01/2021,883,883,883,883,28.75,+3.37%,155,329
03/31/2021,854.25,854.25,854.25,854.25,10.25,+1.21%,155,329
03/30/2021,844,844,844,844,-42.25,-4.77%,200,402
03/29/2021,886.25,886.25,886.25,886.25,12.75,+1.46%,40,402
03/26/2021,873.5,873.5,873.5,873.5,-47,-5.11%,236,402
03/25/2021,920.5,920.5,920.5,920.5,-13.5,-1.45%,322,558
03/24/2021,934,934,934,934,-1.75,-0.19%,0,644
03/23/2021,935.75,935.75,935.75,935.75,18.25,+1.99%,0,644
03/22/2021,917.5,917.5,917.5,917.5,26.75,+3.00%,40,644
03/19/2021,890.75,890.75,890.75,890.75,-18.75,-2.06%,40,684
03/18/2021,909.5,909.5,909.5,909.5,-31.25,-3.32%,40,724
03/17/2021,940.75,940.75,940.75,940.75,7,+0.75%,52,764
03/16/2021,933.75,933.75,933.75,933.75,-29.25,-3.04%,0,764
03/15/2021,963,963,963,963,9.25,+0.97%,170,764
03/12/2021,953.75,953.75,953.75,953.75,17,+1.81%,360,854
03/11/2021,936.75,936.75,936.75,936.75,20.75,+2.27%,160,892
03/10/2021,916,916,916,916,13.25,+1.47%,0,1052
03/09/2021,902.75,902.75,902.75,902.75,11.5,+1.29%,0,1052
03/08/2021,891.25,891.25,891.25,891.25,24.75,+2.86%,280,1052
03/05/2021,866.5,866.5,866.5,866.5,-2.5,-0.29%,0,782
