Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/29/2020,486.25,486.25,486.25,486.25,0.5,+0.10%,0,0
05/28/2020,485.75,485.75,485.75,485.75,-0.25,-0.05%,0,965
05/27/2020,486,486,486,486,5,+1.04%,0,965
05/26/2020,481,481,481,481,0,0.00%,0,965
05/22/2020,481,481,481,481,-2.75,-0.57%,0,965
05/21/2020,483.75,483.75,483.75,483.75,3.5,+0.73%,0,965
05/20/2020,480.25,480.25,480.25,480.25,-2.25,-0.47%,0,965
05/19/2020,482.5,482.5,482.5,482.5,4.5,+0.94%,0,965
05/18/2020,478,478,478,478,5.5,+1.16%,0,965
05/15/2020,472.5,472.5,472.5,472.5,7.25,+1.56%,0,965
05/14/2020,465.25,465.25,465.25,465.25,-0.25,-0.05%,0,965
05/13/2020,465.5,465.5,465.5,465.5,6,+1.31%,0,965
05/12/2020,459.5,459.5,459.5,459.5,-7.5,-1.61%,0,965
05/11/2020,467,467,467,467,0,0.00%,0,965
05/08/2020,467,467,467,467,14.5,+3.20%,0,965
05/07/2020,452.5,452.5,452.5,452.5,0,0.00%,0,965
05/06/2020,452.5,452.5,452.5,452.5,-5,-1.09%,0,965
05/05/2020,457.5,457.5,457.5,457.5,1,+0.22%,0,965
05/04/2020,456.5,456.5,456.5,456.5,-24.5,-5.09%,0,965
05/01/2020,481,481,481,481,0,0.00%,0,965
04/30/2020,481,481,481,481,14,+3.00%,0,965
04/29/2020,467,467,467,467,4,+0.86%,148,965
04/28/2020,463,463,463,463,0.5,+0.11%,0,965
04/27/2020,462.5,462.5,462.5,462.5,-13.75,-2.89%,0,965
04/24/2020,476.25,476.25,476.25,476.25,-9,-1.85%,0,965
04/23/2020,485.25,485.25,485.25,485.25,11.25,+2.37%,0,965
04/22/2020,474,474,474,474,7.25,+1.55%,40,965
04/21/2020,466.75,466.75,466.75,466.75,-39,-7.71%,0,965
04/20/2020,505.75,505.75,505.75,505.75,-2.25,-0.44%,60,965
04/17/2020,508,508,508,508,6.5,+1.30%,72,1005
04/16/2020,501.5,501.5,501.5,501.5,-12,-2.34%,0,1005
04/15/2020,513.5,513.5,513.5,513.5,1,+0.20%,0,1005
04/14/2020,512.5,512.5,512.5,512.5,-3.25,-0.63%,0,1005
04/13/2020,515.75,515.75,515.75,515.75,-6,-1.15%,29,1005
04/09/2020,521.75,521.75,521.75,521.75,-8.5,-1.60%,0,1005
04/08/2020,530.25,530.25,530.25,530.25,8,+1.53%,186,1005
04/07/2020,522.25,522.25,522.25,522.25,18.25,+3.62%,40,1005
04/06/2020,504,504,504,504,2.5,+0.50%,0,1045
04/03/2020,501.5,501.5,501.5,501.5,-15.75,-3.04%,0,1045
04/02/2020,517.25,517.25,517.25,517.25,-4,-0.77%,0,1045
04/01/2020,521.25,521.25,521.25,521.25,-24.5,-4.49%,0,1045
03/31/2020,545.75,545.75,545.75,545.75,-5.25,-0.95%,80,1045
03/30/2020,551,551,551,551,8.75,+1.61%,52,965
03/27/2020,542.25,542.25,542.25,542.25,6.5,+1.21%,0,965
03/26/2020,535.75,535.75,535.75,535.75,-3,-0.56%,10,965
03/25/2020,538.75,538.75,538.75,538.75,16,+3.06%,0,955
03/24/2020,522.75,522.75,522.75,522.75,15.5,+3.06%,0,955
03/23/2020,507.25,507.25,507.25,507.25,-9.75,-1.89%,0,955
03/20/2020,517,517,517,517,27,+5.51%,0,955
03/19/2020,490,490,490,490,-14,-2.78%,0,955
03/18/2020,504,504,504,504,-6,-1.18%,0,955
03/17/2020,510,510,510,510,0.5,+0.10%,0,955
03/16/2020,509.5,509.5,509.5,509.5,-17.25,-3.27%,0,955
03/13/2020,526.75,526.75,526.75,526.75,-4,-0.75%,0,955
03/12/2020,530.75,530.75,530.75,530.75,-24.5,-4.41%,0,955
03/11/2020,555.25,555.25,555.25,555.25,4,+0.73%,0,955
03/10/2020,551.25,551.25,551.25,551.25,-1.25,-0.23%,0,955
03/09/2020,552.5,552.5,552.5,552.5,-31.5,-5.39%,0,955
03/06/2020,584,584,584,584,-21.25,-3.51%,240,955
03/05/2020,605.25,605.25,605.25,605.25,4.75,+0.79%,0,955
03/04/2020,600.5,600.5,600.5,600.5,27.75,+4.85%,0,955
03/03/2020,572.75,572.75,572.75,572.75,17.75,+3.20%,10,955
03/02/2020,555,555,555,555,2.25,+0.41%,240,955
02/28/2020,552.75,552.75,552.75,552.75,-29.25,-5.03%,0,715
02/27/2020,582,582,582,582,13.25,+2.33%,0,715
02/26/2020,568.75,568.75,568.75,568.75,0,0.00%,0,715
02/25/2020,568.75,568.75,568.75,568.75,-25.75,-4.33%,0,715
02/24/2020,594.5,594.5,594.5,594.5,-18,-2.94%,0,715
02/21/2020,612.5,612.5,612.5,612.5,6.25,+1.03%,0,715
02/20/2020,606.25,606.25,606.25,606.25,6.75,+1.13%,40,715
02/19/2020,599.5,599.5,599.5,599.5,-17.25,-2.80%,0,715
02/18/2020,616.75,616.75,616.75,616.75,2,+0.33%,80,715
02/14/2020,614.75,614.75,614.75,614.75,-1.5,-0.24%,0,795
02/13/2020,616.25,616.25,616.25,616.25,-17.75,-2.80%,40,795
02/12/2020,634,634,634,634,11,+1.77%,60,795
02/11/2020,623,623,623,623,-12.75,-2.01%,360,795
