Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/30/2021,883.25,883.25,883.25,883.25,0.5,+0.06%,0,0
06/29/2021,882.75,882.75,882.75,882.75,1,+0.11%,0,1258
06/28/2021,881.75,881.75,881.75,881.75,-0.25,-0.03%,0,1258
06/25/2021,882,882,882,882,5,+0.57%,0,1258
06/24/2021,877,877,877,877,-1.5,-0.17%,0,1258
06/23/2021,878.5,878.5,878.5,878.5,2.75,+0.31%,0,1258
06/22/2021,875.75,875.75,875.75,875.75,0,0.00%,0,1258
06/21/2021,875.75,875.75,875.75,875.75,-3.5,-0.40%,0,1258
06/18/2021,879.25,879.25,879.25,879.25,4.25,+0.49%,0,1258
06/17/2021,875,875,875,875,-4.75,-0.54%,0,1258
06/16/2021,879.75,879.75,879.75,879.75,-18,-2.01%,0,1258
06/15/2021,897.75,897.75,897.75,897.75,24.5,+2.81%,0,1258
06/14/2021,873.25,873.25,873.25,873.25,-39.25,-4.30%,0,1258
06/11/2021,912.5,912.5,912.5,912.5,-28,-2.98%,0,1258
06/10/2021,940.5,940.5,940.5,940.5,-4.5,-0.48%,0,1258
06/09/2021,945,945,945,945,-31.5,-3.23%,0,1258
06/08/2021,976.5,976.5,976.5,976.5,-12.5,-1.26%,0,1258
06/07/2021,989,989,989,989,0,0.00%,0,1258
06/04/2021,989,989,989,989,-6,-0.60%,0,1258
06/03/2021,995,995,995,995,12.5,+1.27%,0,1258
06/02/2021,982.5,982.5,982.5,982.5,46.25,+4.94%,0,1258
06/01/2021,936.25,936.25,936.25,936.25,-19,-1.99%,62,1258
05/28/2021,955.25,955.25,955.25,955.25,25,+2.69%,20,1258
05/27/2021,930.25,930.25,930.25,930.25,-26.5,-2.77%,410,1278
05/26/2021,956.75,956.75,956.75,956.75,0,0.00%,0,1238
05/25/2021,956.75,956.75,956.75,956.75,32.25,+3.49%,0,1238
05/24/2021,924.5,924.5,924.5,924.5,-22,-2.32%,140,1238
05/21/2021,946.5,946.5,946.5,946.5,-27.75,-2.85%,40,1378
