Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/31/2023,860.25,860.25,860.25,860.25,-1.25,-0.15%,0,0
07/28/2023,861.5,861.5,861.5,861.5,-0.75,-0.09%,0,4620
07/27/2023,862.25,862.25,862.25,862.25,-0.25,-0.03%,0,4620
07/26/2023,862.5,862.5,862.5,862.5,0,0.00%,0,4620
07/25/2023,862.5,862.5,862.5,862.5,-5,-0.58%,0,4620
07/24/2023,867.5,867.5,867.5,867.5,7.25,+0.84%,0,4620
07/21/2023,860.25,860.25,860.25,860.25,-1,-0.12%,0,4620
07/20/2023,861.25,861.25,861.25,861.25,12.25,+1.44%,0,4620
07/19/2023,849,849,849,849,0,0.00%,0,4620
07/18/2023,849,849,849,849,-2.25,-0.26%,0,4620
07/17/2023,851.25,851.25,851.25,851.25,1.5,+0.18%,0,4620
07/14/2023,849.75,849.75,849.75,849.75,10.75,+1.28%,0,4620
07/13/2023,839,839,839,839,-3,-0.36%,0,4620
07/12/2023,842,842,842,842,6.75,+0.81%,0,4620
07/11/2023,835.25,835.25,835.25,835.25,-5.25,-0.62%,0,4620
07/10/2023,840.5,840.5,840.5,840.5,14.25,+1.72%,100,4920
07/07/2023,826.25,826.25,826.25,826.25,-13.25,-1.58%,0,4920
07/06/2023,839.5,839.5,839.5,839.5,6.5,+0.78%,0,4920
07/05/2023,833,833,833,833,-19.75,-2.32%,20,4920
07/03/2023,852.75,852.75,852.75,852.75,43,+5.31%,360,4940
06/30/2023,809.75,809.75,809.75,809.75,5.75,+0.72%,200,4940
06/29/2023,804,804,804,804,0,0.00%,200,4910
06/28/2023,804,804,804,804,16.5,+2.10%,880,4910
06/27/2023,787.5,787.5,787.5,787.5,-7,-0.88%,0,5650
06/26/2023,794.5,794.5,794.5,794.5,20,+2.58%,600,5650
06/23/2023,774.5,774.5,774.5,774.5,6.25,+0.81%,0,5650
06/22/2023,768.25,768.25,768.25,768.25,-11.25,-1.44%,50,5650
06/21/2023,779.5,779.5,779.5,779.5,-25,-3.11%,40,5650
06/20/2023,804.5,804.5,804.5,804.5,-7.25,-0.89%,0,5630
06/16/2023,811.75,811.75,811.75,811.75,53.25,+7.02%,180,5630
06/15/2023,758.5,758.5,758.5,758.5,11.25,+1.51%,760,5750
06/14/2023,747.25,747.25,747.25,747.25,4,+0.54%,640,6210
06/13/2023,743.25,743.25,743.25,743.25,15,+2.06%,120,6290
06/12/2023,728.25,728.25,728.25,728.25,-4.25,-0.58%,0,6250
06/09/2023,732.5,732.5,732.5,732.5,23.5,+3.31%,40,6250
06/08/2023,709,709,709,709,-14.5,-2.00%,80,6210
06/07/2023,723.5,723.5,723.5,723.5,1.75,+0.24%,120,6210
06/06/2023,721.75,721.75,721.75,721.75,-18.75,-2.53%,1180,6290
06/05/2023,740.5,740.5,740.5,740.5,0,0.00%,0,6210
06/02/2023,740.5,740.5,740.5,740.5,24,+3.35%,0,6210
06/01/2023,716.5,716.5,716.5,716.5,15.25,+2.17%,120,6210
05/31/2023,701.25,701.25,701.25,701.25,-41.5,-5.59%,40,6210
05/30/2023,742.75,742.75,742.75,742.75,-32.25,-4.16%,40,6210
05/26/2023,775,775,775,775,18.5,+2.45%,160,6210
05/25/2023,756.5,756.5,756.5,756.5,14.75,+1.99%,160,6170
05/24/2023,741.75,741.75,741.75,741.75,3,+0.41%,200,6050
05/23/2023,738.75,738.75,738.75,738.75,-13,-1.73%,480,5970
