Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/31/2022,921.25,921.25,921.25,921.25,0,0.00%,0,0
08/30/2022,921.25,921.25,921.25,921.25,-0.25,-0.03%,0,5596
08/29/2022,921.5,921.5,921.5,921.5,-0.25,-0.03%,0,5596
08/26/2022,921.75,921.75,921.75,921.75,-2.5,-0.27%,0,5596
08/25/2022,924.25,924.25,924.25,924.25,-1.75,-0.19%,0,5596
08/24/2022,926,926,926,926,3.75,+0.41%,0,5596
08/23/2022,922.25,922.25,922.25,922.25,4.25,+0.46%,0,5596
08/22/2022,918,918,918,918,4.5,+0.49%,0,5596
08/19/2022,913.5,913.5,913.5,913.5,3.5,+0.38%,0,5596
08/18/2022,910,910,910,910,-14.25,-1.54%,0,5596
08/17/2022,924.25,924.25,924.25,924.25,1.25,+0.14%,0,5596
08/16/2022,923,923,923,923,3.5,+0.38%,0,5596
08/15/2022,919.5,919.5,919.5,919.5,-34.75,-3.64%,0,5596
08/12/2022,954.25,954.25,954.25,954.25,20,+2.14%,0,5596
08/11/2022,934.25,934.25,934.25,934.25,23.75,+2.61%,0,5596
08/10/2022,910.5,910.5,910.5,910.5,-2.25,-0.25%,0,5596
08/09/2022,912.75,912.75,912.75,912.75,9.25,+1.02%,0,5596
08/08/2022,903.5,903.5,903.5,903.5,32,+3.67%,0,5596
08/05/2022,871.5,871.5,871.5,871.5,10.25,+1.19%,0,5596
08/04/2022,861.25,861.25,861.25,861.25,-9.5,-1.09%,0,5596
08/03/2022,870.75,870.75,870.75,870.75,3,+0.35%,0,5596
08/02/2022,867.75,867.75,867.75,867.75,-47.75,-5.22%,0,5596
08/01/2022,915.5,915.5,915.5,915.5,-52.25,-5.40%,0,5596
07/29/2022,967.75,967.75,967.75,967.75,75.25,+8.43%,0,5596
07/28/2022,892.5,892.5,892.5,892.5,34.5,+4.02%,270,5596
07/27/2022,858,858,858,858,6.5,+0.76%,0,5596
07/26/2022,851.5,851.5,851.5,851.5,30,+3.65%,20,5596
07/25/2022,821.5,821.5,821.5,821.5,-11.5,-1.38%,100,5596
07/22/2022,833,833,833,833,-4,-0.48%,0,5596
07/21/2022,837,837,837,837,-50,-5.64%,1000,5596
07/20/2022,887,887,887,887,21.5,+2.48%,0,6596
07/19/2022,865.5,865.5,865.5,865.5,-25.5,-2.86%,1120,6596
07/18/2022,891,891,891,891,69.5,+8.46%,600,6716
07/15/2022,821.5,821.5,821.5,821.5,0,0.00%,120,7316
07/14/2022,821.5,821.5,821.5,821.5,-36.5,-4.25%,120,7316
07/13/2022,858,858,858,858,-79.75,-8.50%,0,7316
07/12/2022,937.75,937.75,937.75,937.75,-14.75,-1.55%,0,7316
07/11/2022,952.5,952.5,952.5,952.5,0,0.00%,0,7316
07/08/2022,952.5,952.5,952.5,952.5,3,+0.32%,0,7316
07/07/2022,949.5,949.5,949.5,949.5,26.25,+2.84%,280,7316
07/06/2022,923.25,923.25,923.25,923.25,-24.5,-2.59%,148,7116
07/05/2022,947.75,947.75,947.75,947.75,-117,-10.99%,212,7036
07/01/2022,1064.75,1064.75,1064.75,1064.75,-46,-4.14%,120,7036
06/30/2022,1110.75,1110.75,1110.75,1110.75,1.25,+0.11%,520,6916
06/29/2022,1109.5,1109.5,1109.5,1109.5,-16,-1.42%,280,7344
06/28/2022,1125.5,1125.5,1125.5,1125.5,12.25,+1.10%,160,7304
06/27/2022,1113.25,1113.25,1113.25,1113.25,52.75,+4.97%,40,7304
06/24/2022,1060.5,1060.5,1060.5,1060.5,-15.25,-1.42%,240,7344
06/23/2022,1075.75,1075.75,1075.75,1075.75,61.75,+6.09%,120,7304
06/22/2022,1014,1014,1014,1014,-109.75,-9.77%,0,7264
06/21/2022,1123.75,1123.75,1123.75,1123.75,-110.75,-8.97%,1060,7264
06/17/2022,1234.5,1234.5,1234.5,1234.5,-0.25,-0.02%,840,7064
06/16/2022,1234.75,1234.75,1234.75,1234.75,-11.75,-0.94%,440,7024
06/15/2022,1246.5,1246.5,1246.5,1246.5,-29.75,-2.33%,600,6984
06/14/2022,1276.25,1276.25,1276.25,1276.25,20.75,+1.65%,0,6804
06/13/2022,1255.5,1255.5,1255.5,1255.5,-36.25,-2.81%,600,6804
06/10/2022,1291.75,1291.75,1291.75,1291.75,-64,-4.72%,120,6704
06/09/2022,1355.75,1355.75,1355.75,1355.75,-47.5,-3.38%,320,6704
06/08/2022,1403.25,1403.25,1403.25,1403.25,-2.75,-0.20%,240,6584
06/07/2022,1406,1406,1406,1406,14.5,+1.04%,400,6344
06/06/2022,1391.5,1391.5,1391.5,1391.5,0,0.00%,0,6504
06/03/2022,1391.5,1391.5,1391.5,1391.5,8.75,+0.63%,30,6504
06/02/2022,1382.75,1382.75,1382.75,1382.75,7,+0.51%,92,6534
06/01/2022,1375.75,1375.75,1375.75,1375.75,4.25,+0.31%,120,6626
05/31/2022,1371.5,1371.5,1371.5,1371.5,0.25,+0.02%,46,6626
05/27/2022,1371.25,1371.25,1371.25,1371.25,-31.5,-2.25%,80,6600
05/26/2022,1402.75,1402.75,1402.75,1402.75,20,+1.45%,80,6520
05/25/2022,1382.75,1382.75,1382.75,1382.75,-19,-1.36%,0,6520
05/24/2022,1401.75,1401.75,1401.75,1401.75,27,+1.96%,40,6520
05/23/2022,1374.75,1374.75,1374.75,1374.75,30.25,+2.25%,0,6480
05/20/2022,1344.5,1344.5,1344.5,1344.5,7.25,+0.54%,20,6480
05/19/2022,1337.25,1337.25,1337.25,1337.25,-14.25,-1.05%,480,6460
05/18/2022,1351.5,1351.5,1351.5,1351.5,2.25,+0.17%,140,6420
05/17/2022,1349.25,1349.25,1349.25,1349.25,-1.5,-0.11%,760,6280
05/16/2022,1350.75,1350.75,1350.75,1350.75,0,0.00%,0,5600
05/13/2022,1350.75,1350.75,1350.75,1350.75,1.75,+0.13%,0,5600
05/12/2022,1349,1349,1349,1349,-28.5,-2.07%,160,5600
05/11/2022,1377.5,1377.5,1377.5,1377.5,24.75,+1.83%,120,5560
05/10/2022,1352.75,1352.75,1352.75,1352.75,-12.5,-0.92%,130,5520
05/09/2022,1365.25,1365.25,1365.25,1365.25,4,+0.29%,140,5470
05/06/2022,1361.25,1361.25,1361.25,1361.25,-39,-2.79%,592,5480
05/05/2022,1400.25,1400.25,1400.25,1400.25,-52.25,-3.60%,440,5058
05/04/2022,1452.5,1452.5,1452.5,1452.5,0,0.00%,0,4878
05/03/2022,1452.5,1452.5,1452.5,1452.5,0,0.00%,0,4878
05/02/2022,1452.5,1452.5,1452.5,1452.5,0,0.00%,0,4878
04/29/2022,1452.5,1452.5,1452.5,1452.5,34.5,+2.43%,360,4878
04/28/2022,1418,1418,1418,1418,-28,-1.94%,160,4978
04/27/2022,1446,1446,1446,1446,111.25,+8.33%,40,4978
04/26/2022,1334.75,1334.75,1334.75,1334.75,22.25,+1.70%,40,4938
04/25/2022,1312.5,1312.5,1312.5,1312.5,-57,-4.16%,300,4898
04/22/2022,1369.5,1369.5,1369.5,1369.5,5,+0.37%,120,4798
04/21/2022,1364.5,1364.5,1364.5,1364.5,1.5,+0.11%,340,4758
04/20/2022,1363,1363,1363,1363,-59.25,-4.17%,70,4618
04/19/2022,1422.25,1422.25,1422.25,1422.25,0,0.00%,0,4548
04/18/2022,1422.25,1422.25,1422.25,1422.25,65,+4.79%,0,4548
04/14/2022,1357.25,1357.25,1357.25,1357.25,28.25,+2.13%,140,4548
04/13/2022,1329,1329,1329,1329,-17.75,-1.32%,90,4568
04/12/2022,1346.75,1346.75,1346.75,1346.75,43.25,+3.32%,80,4578
04/11/2022,1303.5,1303.5,1303.5,1303.5,-9.5,-0.72%,60,4498
04/08/2022,1313,1313,1313,1313,23,+1.78%,80,4438
04/07/2022,1290,1290,1290,1290,-5.75,-0.44%,160,4358
04/06/2022,1295.75,1295.75,1295.75,1295.75,2,+0.15%,120,4238
04/05/2022,1293.75,1293.75,1293.75,1293.75,42.25,+3.38%,40,4118
04/04/2022,1251.5,1251.5,1251.5,1251.5,16.5,+1.34%,20,4078
04/01/2022,1235,1235,1235,1235,-33.5,-2.64%,128,4078
03/31/2022,1268.5,1268.5,1268.5,1268.5,-46.5,-3.54%,40,3950
03/30/2022,1315,1315,1315,1315,-14.5,-1.09%,40,3910
03/29/2022,1329.5,1329.5,1329.5,1329.5,7,+0.53%,40,3870
03/28/2022,1322.5,1322.5,1322.5,1322.5,-6.5,-0.49%,40,3830
03/25/2022,1329,1329,1329,1329,22.5,+1.72%,80,3790
03/24/2022,1306.5,1306.5,1306.5,1306.5,-44,-3.26%,250,3750
03/23/2022,1350.5,1350.5,1350.5,1350.5,30.25,+2.29%,40,3620
03/22/2022,1320.25,1320.25,1320.25,1320.25,14,+1.07%,0,3580
03/21/2022,1306.25,1306.25,1306.25,1306.25,17.5,+1.36%,120,3580
03/18/2022,1288.75,1288.75,1288.75,1288.75,-53.25,-3.97%,80,3580
03/17/2022,1342,1342,1342,1342,-3.25,-0.24%,80,3520
03/16/2022,1345.25,1345.25,1345.25,1345.25,71,+5.57%,0,3520
03/15/2022,1274.25,1274.25,1274.25,1274.25,-23,-1.77%,50,3520
03/14/2022,1297.25,1297.25,1297.25,1297.25,-31.25,-2.35%,60,3550
03/11/2022,1328.5,1328.5,1328.5,1328.5,-49,-3.56%,260,3490
03/10/2022,1377.5,1377.5,1377.5,1377.5,-29,-2.06%,260,3450
03/09/2022,1406.5,1406.5,1406.5,1406.5,75,+5.63%,0,3450
03/08/2022,1331.5,1331.5,1331.5,1331.5,-18.5,-1.37%,200,3450
03/07/2022,1350,1350,1350,1350,34,+2.58%,0,3250
03/04/2022,1316,1316,1316,1316,-46.75,-3.43%,0,3250
03/03/2022,1362.75,1362.75,1362.75,1362.75,78.75,+6.13%,0,3250
03/02/2022,1284,1284,1284,1284,-13.25,-1.02%,80,3250
03/01/2022,1297.25,1297.25,1297.25,1297.25,52,+4.18%,80,3170
02/28/2022,1245.25,1245.25,1245.25,1245.25,38.25,+3.17%,40,3170
02/25/2022,1207,1207,1207,1207,-96.25,-7.39%,40,3130
02/24/2022,1303.25,1303.25,1303.25,1303.25,86.75,+7.13%,180,3090
02/23/2022,1216.5,1216.5,1216.5,1216.5,22.5,+1.88%,140,2910
02/22/2022,1194,1194,1194,1194,48.5,+4.23%,0,2790
02/18/2022,1145.5,1145.5,1145.5,1145.5,8,+0.70%,40,2790
02/17/2022,1137.5,1137.5,1137.5,1137.5,10.25,+0.91%,40,2750
02/16/2022,1127.25,1127.25,1127.25,1127.25,2,+0.18%,0,2750
02/15/2022,1125.25,1125.25,1125.25,1125.25,-12.25,-1.08%,0,2750
02/14/2022,1137.5,1137.5,1137.5,1137.5,6.5,+0.57%,0,2750
02/11/2022,1131,1131,1131,1131,5.5,+0.49%,320,2750
02/10/2022,1125.5,1125.5,1125.5,1125.5,-12.75,-1.12%,2400,2750
02/09/2022,1138.25,1138.25,1138.25,1138.25,15.5,+1.38%,0,2750
02/08/2022,1122.75,1122.75,1122.75,1122.75,1,+0.09%,0,2750
02/07/2022,1121.75,1121.75,1121.75,1121.75,-11.25,-0.99%,200,2750
02/04/2022,1133,1133,1133,1133,20.75,+1.87%,0,2710
02/03/2022,1112.25,1112.25,1112.25,1112.25,-9.75,-0.87%,0,2710
02/02/2022,1122,1122,1122,1122,0,0.00%,0,2710
02/01/2022,1122,1122,1122,1122,0,0.00%,0,2710
01/31/2022,1122,1122,1122,1122,-1.75,-0.16%,0,2710
01/28/2022,1123.75,1123.75,1123.75,1123.75,40.25,+3.71%,0,2710
01/27/2022,1083.5,1083.5,1083.5,1083.5,13,+1.21%,0,2710
01/26/2022,1070.5,1070.5,1070.5,1070.5,12,+1.13%,0,2710
01/25/2022,1058.5,1058.5,1058.5,1058.5,-2.5,-0.24%,0,2710
01/24/2022,1061,1061,1061,1061,-21,-1.94%,0,2710
01/21/2022,1082,1082,1082,1082,35.5,+3.39%,0,2710
01/20/2022,1046.5,1046.5,1046.5,1046.5,5.5,+0.53%,0,2710
01/19/2022,1041,1041,1041,1041,20.5,+2.01%,40,2710
01/18/2022,1020.5,1020.5,1020.5,1020.5,12.25,+1.21%,60,2710
01/14/2022,1008.25,1008.25,1008.25,1008.25,-7,-0.69%,40,2670
01/13/2022,1015.25,1015.25,1015.25,1015.25,19.75,+1.98%,40,2670
01/12/2022,995.5,995.5,995.5,995.5,-9.25,-0.92%,120,2670
01/11/2022,1004.75,1004.75,1004.75,1004.75,16.75,+1.70%,0,2550
01/10/2022,988,988,988,988,3.75,+0.38%,40,2550
01/07/2022,984.25,984.25,984.25,984.25,3.25,+0.33%,0,2510
01/06/2022,981,981,981,981,-12,-1.21%,0,2510
01/05/2022,993,993,993,993,16.25,+1.66%,0,2510
01/04/2022,976.75,976.75,976.75,976.75,-5.75,-0.59%,0,2510
01/03/2022,982.5,982.5,982.5,982.5,32.75,+3.45%,0,2510
12/31/2021,949.75,949.75,949.75,949.75,11.25,+1.20%,0,2510
12/30/2021,938.5,938.5,938.5,938.5,-2.5,-0.27%,0,2510
12/29/2021,941,941,941,941,-25.5,-2.64%,0,2510
12/28/2021,966.5,966.5,966.5,966.5,22.25,+2.36%,0,2510
12/27/2021,944.25,944.25,944.25,944.25,25.5,+2.78%,0,2510
12/23/2021,918.75,918.75,918.75,918.75,-7.75,-0.84%,0,2510
12/22/2021,926.5,926.5,926.5,926.5,3.5,+0.38%,0,2510
12/21/2021,923,923,923,923,14.75,+1.62%,0,2510
12/20/2021,908.25,908.25,908.25,908.25,-19.5,-2.10%,200,2510
12/17/2021,927.75,927.75,927.75,927.75,0.25,+0.03%,0,2430
12/16/2021,927.5,927.5,927.5,927.5,33.75,+3.78%,0,2430
12/15/2021,893.75,893.75,893.75,893.75,-24.5,-2.67%,0,2430
12/14/2021,918.25,918.25,918.25,918.25,-11,-1.18%,0,2430
12/13/2021,929.25,929.25,929.25,929.25,-4.5,-0.48%,0,2430
12/10/2021,933.75,933.75,933.75,933.75,3.25,+0.35%,0,2430
12/09/2021,930.5,930.5,930.5,930.5,-7.25,-0.77%,0,2430
12/08/2021,937.75,937.75,937.75,937.75,-16.25,-1.70%,0,2430
12/07/2021,954,954,954,954,32,+3.47%,0,2430
12/06/2021,922,922,922,922,36.75,+4.15%,0,2430
12/03/2021,885.25,885.25,885.25,885.25,0,0.00%,0,2430
12/02/2021,885.25,885.25,885.25,885.25,-8.25,-0.92%,0,2430
12/01/2021,893.5,893.5,893.5,893.5,10.5,+1.19%,0,2430
11/30/2021,883,883,883,883,-39,-4.23%,0,2430
11/29/2021,922,922,922,922,-6.75,-0.73%,0,2430
11/26/2021,928.75,928.75,928.75,928.75,-14.25,-1.51%,0,2430
11/24/2021,943,943,943,943,17.5,+1.89%,40,2430
11/23/2021,925.5,925.5,925.5,925.5,-17,-1.80%,0,2390
11/22/2021,942.5,942.5,942.5,942.5,-8,-0.84%,0,2390
11/19/2021,950.5,950.5,950.5,950.5,-12,-1.25%,40,2390
11/18/2021,962.5,962.5,962.5,962.5,9.5,+1.00%,40,2350
11/17/2021,953,953,953,953,10.5,+1.11%,0,2350
11/16/2021,942.5,942.5,942.5,942.5,0,0.00%,0,2350
11/15/2021,942.5,942.5,942.5,942.5,3.5,+0.37%,0,2350
11/12/2021,939,939,939,939,7,+0.75%,0,2350
11/11/2021,932,932,932,932,2.25,+0.24%,80,2350
11/10/2021,929.75,929.75,929.75,929.75,27,+2.99%,400,2270
11/09/2021,902.75,902.75,902.75,902.75,-9.5,-1.04%,420,1910
11/08/2021,912.25,912.25,912.25,912.25,7.5,+0.83%,320,1490
11/05/2021,904.75,904.75,904.75,904.75,-37.25,-3.95%,50,1170
11/04/2021,942,942,942,942,0,0.00%,50,1120
11/03/2021,942,942,942,942,9.75,+1.05%,40,1120
