Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/30/2020,688.75,688.75,688.75,688.75,-0.75,-0.11%,0,0
09/29/2020,689.5,689.5,689.5,689.5,-1,-0.14%,0,1656
09/28/2020,690.5,690.5,690.5,690.5,0,0.00%,0,1656
09/25/2020,690.5,690.5,690.5,690.5,3,+0.44%,0,1656
09/24/2020,687.5,687.5,687.5,687.5,-6.5,-0.94%,0,1656
09/23/2020,694,694,694,694,-7.5,-1.07%,0,1656
09/22/2020,701.5,701.5,701.5,701.5,-5.25,-0.74%,0,1656
09/21/2020,706.75,706.75,706.75,706.75,-5.75,-0.81%,0,1656
09/18/2020,712.5,712.5,712.5,712.5,12,+1.71%,0,1656
09/17/2020,700.5,700.5,700.5,700.5,7,+1.01%,0,1656
09/16/2020,693.5,693.5,693.5,693.5,0,0.00%,0,1656
09/15/2020,693.5,693.5,693.5,693.5,7,+1.02%,0,1656
09/14/2020,686.5,686.5,686.5,686.5,12.5,+1.85%,0,1656
09/11/2020,674,674,674,674,0.5,+0.07%,0,1656
09/10/2020,673.5,673.5,673.5,673.5,0.75,+0.11%,0,1656
09/09/2020,672.75,672.75,672.75,672.75,-10.75,-1.57%,0,1656
09/08/2020,683.5,683.5,683.5,683.5,4.5,+0.66%,0,1656
09/04/2020,679,679,679,679,-12.5,-1.81%,0,1656
09/03/2020,691.5,691.5,691.5,691.5,17.75,+2.63%,0,1656
09/02/2020,673.75,673.75,673.75,673.75,6,+0.90%,0,1656
09/01/2020,667.75,667.75,667.75,667.75,14,+2.14%,0,1656
08/31/2020,653.75,653.75,653.75,653.75,0,0.00%,0,1656
08/28/2020,653.75,653.75,653.75,653.75,14.5,+2.27%,0,1656
08/27/2020,639.25,639.25,639.25,639.25,8.75,+1.39%,0,1656
08/26/2020,630.5,630.5,630.5,630.5,6.25,+1.00%,0,1656
08/25/2020,624.25,624.25,624.25,624.25,-11,-1.73%,40,1656
08/24/2020,635.25,635.25,635.25,635.25,-2.5,-0.39%,40,1656
08/21/2020,637.75,637.75,637.75,637.75,-14.75,-2.26%,40,1656
08/20/2020,652.5,652.5,652.5,652.5,0,0.00%,0,1656
08/19/2020,652.5,652.5,652.5,652.5,7.75,+1.20%,317,1656
08/18/2020,644.75,644.75,644.75,644.75,8,+1.26%,290,1656
08/17/2020,636.75,636.75,636.75,636.75,9.25,+1.47%,85,1416
08/14/2020,627.5,627.5,627.5,627.5,-5,-0.79%,0,1416
08/13/2020,632.5,632.5,632.5,632.5,7.5,+1.20%,0,1416
08/12/2020,625,625,625,625,8.25,+1.34%,0,1416
08/11/2020,616.75,616.75,616.75,616.75,-15,-2.37%,0,1416
08/10/2020,631.75,631.75,631.75,631.75,-13.25,-2.05%,0,1416
08/07/2020,645,645,645,645,1,+0.16%,0,1416
08/06/2020,644,644,644,644,8.25,+1.30%,0,1416
08/05/2020,635.75,635.75,635.75,635.75,-3.75,-0.59%,0,1416
08/04/2020,639.5,639.5,639.5,639.5,7.5,+1.19%,400,1416
08/03/2020,632,632,632,632,14,+2.27%,40,1016
07/31/2020,618,618,618,618,0,0.00%,0,1016
07/30/2020,618,618,618,618,7,+1.15%,400,1016
07/29/2020,611,611,611,611,10.5,+1.75%,0,936
07/28/2020,600.5,600.5,600.5,600.5,-8.25,-1.36%,80,936
07/27/2020,608.75,608.75,608.75,608.75,-20.25,-3.22%,120,1016
07/24/2020,629,629,629,629,8,+1.29%,40,1116
07/23/2020,621,621,621,621,9,+1.47%,152,1156
07/22/2020,612,612,612,612,3.25,+0.53%,40,1228
07/21/2020,608.75,608.75,608.75,608.75,-5,-0.81%,40,1188
07/20/2020,613.75,613.75,613.75,613.75,9.25,+1.53%,40,1148
07/17/2020,604.5,604.5,604.5,604.5,22.5,+3.87%,0,1108
07/16/2020,582,582,582,582,-3.5,-0.60%,120,1108
07/15/2020,585.5,585.5,585.5,585.5,9.75,+1.69%,65,1228
07/14/2020,575.75,575.75,575.75,575.75,16,+2.86%,0,1293
07/13/2020,559.75,559.75,559.75,559.75,1.25,+0.22%,0,1293
07/10/2020,558.5,558.5,558.5,558.5,2.25,+0.40%,0,1293
07/09/2020,556.25,556.25,556.25,556.25,-1.25,-0.22%,0,1293
07/08/2020,557.5,557.5,557.5,557.5,8,+1.46%,0,1293
