Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
10/29/2021,1177,1177,1177,1177,1.25,+0.11%,0,0
10/28/2021,1175.75,1175.75,1175.75,1175.75,-1,-0.08%,0,1780
10/27/2021,1176.75,1176.75,1176.75,1176.75,-1.75,-0.15%,0,1780
10/26/2021,1178.5,1178.5,1178.5,1178.5,2.25,+0.19%,0,1780
10/25/2021,1176.25,1176.25,1176.25,1176.25,3.25,+0.28%,0,1780
10/22/2021,1173,1173,1173,1173,-3.25,-0.28%,0,1780
10/21/2021,1176.25,1176.25,1176.25,1176.25,-9,-0.76%,0,1780
10/20/2021,1185.25,1185.25,1185.25,1185.25,13,+1.11%,0,1780
10/19/2021,1172.25,1172.25,1172.25,1172.25,0,0.00%,0,1780
10/18/2021,1172.25,1172.25,1172.25,1172.25,8.75,+0.75%,0,1780
10/15/2021,1163.5,1163.5,1163.5,1163.5,9.75,+0.85%,0,1780
10/14/2021,1153.75,1153.75,1153.75,1153.75,-18,-1.54%,0,1780
10/13/2021,1171.75,1171.75,1171.75,1171.75,25,+2.18%,0,1780
10/12/2021,1146.75,1146.75,1146.75,1146.75,-16,-1.38%,0,1780
10/11/2021,1162.75,1162.75,1162.75,1162.75,0.75,+0.06%,0,1780
10/08/2021,1162,1162,1162,1162,21,+1.84%,40,1780
10/07/2021,1141,1141,1141,1141,-4.75,-0.41%,40,1780
10/06/2021,1145.75,1145.75,1145.75,1145.75,26.75,+2.39%,40,1780
10/05/2021,1119,1119,1119,1119,31.25,+2.87%,0,1780
10/04/2021,1087.75,1087.75,1087.75,1087.75,21,+1.97%,0,1780
10/01/2021,1066.75,1066.75,1066.75,1066.75,-18.25,-1.68%,200,1780
09/30/2021,1085,1085,1085,1085,35.5,+3.38%,200,1780
09/29/2021,1049.5,1049.5,1049.5,1049.5,1,+0.10%,510,1780
09/28/2021,1048.5,1048.5,1048.5,1048.5,12.5,+1.21%,200,1780
09/27/2021,1036,1036,1036,1036,-11,-1.05%,200,1780
09/24/2021,1047,1047,1047,1047,-2.5,-0.24%,80,1980
09/23/2021,1049.5,1049.5,1049.5,1049.5,30,+2.94%,53,1980
09/22/2021,1019.5,1019.5,1019.5,1019.5,30.75,+3.11%,80,1980
09/21/2021,988.75,988.75,988.75,988.75,5.5,+0.56%,40,1900
09/20/2021,983.25,983.25,983.25,983.25,-24.5,-2.43%,40,1900
09/17/2021,1007.75,1007.75,1007.75,1007.75,-20,-1.95%,160,1900
09/16/2021,1027.75,1027.75,1027.75,1027.75,0,0.00%,140,2020
09/15/2021,1027.75,1027.75,1027.75,1027.75,28.75,+2.88%,140,2020
09/14/2021,999,999,999,999,-7,-0.70%,503,1900
09/13/2021,1006,1006,1006,1006,7.25,+0.73%,80,1580
09/10/2021,998.75,998.75,998.75,998.75,-24.5,-2.39%,120,1500
09/09/2021,1023.25,1023.25,1023.25,1023.25,-17.5,-1.68%,20,1380
09/08/2021,1040.75,1040.75,1040.75,1040.75,18.25,+1.78%,220,1380
09/07/2021,1022.5,1022.5,1022.5,1022.5,20.75,+2.07%,720,1580
09/03/2021,1001.75,1001.75,1001.75,1001.75,15.25,+1.55%,0,2020
09/02/2021,986.5,986.5,986.5,986.5,16,+1.65%,1200,2020
09/01/2021,970.5,970.5,970.5,970.5,-21.75,-2.19%,438,1009
08/31/2021,992.25,992.25,992.25,992.25,0,0.00%,80,1127
08/30/2021,992.25,992.25,992.25,992.25,-10.75,-1.07%,80,1134
08/27/2021,1003,1003,1003,1003,-9.5,-0.94%,0,1054
08/26/2021,1012.5,1012.5,1012.5,1012.5,5,+0.50%,0,1054
08/25/2021,1007.5,1007.5,1007.5,1007.5,16.25,+1.64%,0,1054
08/24/2021,991.25,991.25,991.25,991.25,-5.5,-0.55%,80,1054
08/23/2021,996.75,996.75,996.75,996.75,17.75,+1.81%,600,1054
08/20/2021,979,979,979,979,7,+0.72%,130,1007
08/19/2021,972,972,972,972,-14.5,-1.47%,58,1017
08/18/2021,986.5,986.5,986.5,986.5,-23.25,-2.30%,40,995
08/17/2021,1009.75,1009.75,1009.75,1009.75,-5.5,-0.54%,0,955
08/16/2021,1015.25,1015.25,1015.25,1015.25,7.75,+0.77%,0,955
08/13/2021,1007.5,1007.5,1007.5,1007.5,6,+0.60%,0,955
08/12/2021,1001.5,1001.5,1001.5,1001.5,-1,-0.10%,92,955
08/11/2021,1002.5,1002.5,1002.5,1002.5,62.25,+6.62%,0,1047
08/10/2021,940.25,940.25,940.25,940.25,0,0.00%,0,1047
08/09/2021,940.25,940.25,940.25,940.25,-12.5,-1.31%,0,1047
08/06/2021,952.75,952.75,952.75,952.75,18,+1.93%,0,1047
08/05/2021,934.75,934.75,934.75,934.75,-13.25,-1.40%,0,1047
08/04/2021,948,948,948,948,26.25,+2.85%,0,1047
08/03/2021,921.75,921.75,921.75,921.75,5.75,+0.63%,0,1047
08/02/2021,916,916,916,916,-49,-5.08%,0,1047
07/30/2021,965,965,965,965,-15.25,-1.56%,0,1047
07/29/2021,980.25,980.25,980.25,980.25,23.75,+2.48%,0,1047
07/28/2021,956.5,956.5,956.5,956.5,-19.5,-2.00%,0,1047
07/27/2021,976,976,976,976,11.25,+1.17%,0,1047
07/26/2021,964.75,964.75,964.75,964.75,15.5,+1.63%,0,1047
07/23/2021,949.25,949.25,949.25,949.25,26.75,+2.90%,0,1047
07/22/2021,922.5,922.5,922.5,922.5,-12,-1.28%,0,1047
07/21/2021,934.5,934.5,934.5,934.5,-7.75,-0.82%,0,1047
