Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
11/30/2021,1173.25,1173.25,1173.25,1173.25,-2,-0.17%,0,0
11/29/2021,1175.25,1175.25,1175.25,1175.25,0.25,+0.02%,0,1111
11/26/2021,1175,1175,1175,1175,-3.75,-0.32%,0,1111
11/24/2021,1178.75,1178.75,1178.75,1178.75,2.5,+0.21%,0,1111
11/23/2021,1176.25,1176.25,1176.25,1176.25,-7.5,-0.63%,0,1111
11/22/2021,1183.75,1183.75,1183.75,1183.75,-3.25,-0.27%,0,1111
11/19/2021,1187,1187,1187,1187,-0.5,-0.04%,0,1111
11/18/2021,1187.5,1187.5,1187.5,1187.5,9.25,+0.79%,0,1111
11/17/2021,1178.25,1178.25,1178.25,1178.25,11,+0.94%,0,1111
11/16/2021,1167.25,1167.25,1167.25,1167.25,2.75,+0.24%,0,1111
11/15/2021,1164.5,1164.5,1164.5,1164.5,5,+0.43%,0,1111
11/12/2021,1159.5,1159.5,1159.5,1159.5,6.5,+0.56%,0,1111
11/11/2021,1153,1153,1153,1153,-8.25,-0.71%,0,1111
11/10/2021,1161.25,1161.25,1161.25,1161.25,21.25,+1.86%,0,1111
11/09/2021,1140,1140,1140,1140,-20.25,-1.75%,0,1111
11/08/2021,1160.25,1160.25,1160.25,1160.25,4,+0.35%,0,1111
11/05/2021,1156.25,1156.25,1156.25,1156.25,-42,-3.51%,0,1111
11/04/2021,1198.25,1198.25,1198.25,1198.25,0,0.00%,0,1111
11/03/2021,1198.25,1198.25,1198.25,1198.25,19.75,+1.68%,0,1111
11/02/2021,1178.5,1178.5,1178.5,1178.5,1,+0.08%,0,1111
11/01/2021,1177.5,1177.5,1177.5,1177.5,-15.75,-1.32%,0,1111
10/29/2021,1193.25,1193.25,1193.25,1193.25,22.75,+1.94%,0,1111
10/28/2021,1170.5,1170.5,1170.5,1170.5,-8,-0.68%,0,1111
10/27/2021,1178.5,1178.5,1178.5,1178.5,-14.25,-1.19%,0,1111
10/26/2021,1192.75,1192.75,1192.75,1192.75,10.25,+0.87%,80,1111
10/25/2021,1182.5,1182.5,1182.5,1182.5,10,+0.85%,360,1031
10/22/2021,1172.5,1172.5,1172.5,1172.5,-8.5,-0.72%,240,1031
10/21/2021,1181,1181,1181,1181,-22.25,-1.85%,404,1031
10/20/2021,1203.25,1203.25,1203.25,1203.25,29.25,+2.49%,280,1435
10/19/2021,1174,1174,1174,1174,0,0.00%,0,1435
10/18/2021,1174,1174,1174,1174,18.25,+1.58%,160,1435
10/15/2021,1155.75,1155.75,1155.75,1155.75,19.5,+1.72%,120,1595
10/14/2021,1136.25,1136.25,1136.25,1136.25,-30.75,-2.63%,400,1595
10/13/2021,1167,1167,1167,1167,35.25,+3.11%,400,1195
10/12/2021,1131.75,1131.75,1131.75,1131.75,-19.75,-1.72%,0,995
10/11/2021,1151.5,1151.5,1151.5,1151.5,0.75,+0.07%,0,995
10/08/2021,1150.75,1150.75,1150.75,1150.75,29.25,+2.61%,400,995
10/07/2021,1121.5,1121.5,1121.5,1121.5,-7,-0.62%,400,995
10/06/2021,1128.5,1128.5,1128.5,1128.5,25.5,+2.31%,400,995
10/05/2021,1103,1103,1103,1103,39.5,+3.71%,100,1075
10/04/2021,1063.5,1063.5,1063.5,1063.5,20.75,+1.99%,320,1075
10/01/2021,1042.75,1042.75,1042.75,1042.75,-18.25,-1.72%,320,1075
09/30/2021,1061,1061,1061,1061,36.5,+3.56%,520,1075
09/29/2021,1024.5,1024.5,1024.5,1024.5,1,+0.10%,346,1365
09/28/2021,1023.5,1023.5,1023.5,1023.5,12.5,+1.24%,200,1265
09/27/2021,1011,1011,1011,1011,-10,-0.98%,200,1265
09/24/2021,1021,1021,1021,1021,-2.5,-0.24%,100,1065
09/23/2021,1023.5,1023.5,1023.5,1023.5,28,+2.81%,100,1065
09/22/2021,995.5,995.5,995.5,995.5,30,+3.11%,600,1165
09/21/2021,965.5,965.5,965.5,965.5,2.75,+0.29%,600,1165
09/20/2021,962.75,962.75,962.75,962.75,-22.25,-2.26%,40,765
09/17/2021,985,985,985,985,-19.5,-1.94%,40,765
09/16/2021,1004.5,1004.5,1004.5,1004.5,0,0.00%,16,765
09/15/2021,1004.5,1004.5,1004.5,1004.5,26.25,+2.68%,16,765
09/14/2021,978.25,978.25,978.25,978.25,-8,-0.81%,400,781
09/13/2021,986.25,986.25,986.25,986.25,7,+0.71%,400,781
09/10/2021,979.25,979.25,979.25,979.25,-24,-2.39%,0,696
09/09/2021,1003.25,1003.25,1003.25,1003.25,-16.5,-1.62%,0,696
09/08/2021,1019.75,1019.75,1019.75,1019.75,17.75,+1.77%,0,696
09/07/2021,1002,1002,1002,1002,21.5,+2.19%,0,696
09/03/2021,980.5,980.5,980.5,980.5,14,+1.45%,0,696
09/02/2021,966.5,966.5,966.5,966.5,15.75,+1.66%,0,696
09/01/2021,950.75,950.75,950.75,950.75,-22.25,-2.29%,30,696
08/31/2021,973,973,973,973,0,0.00%,0,726
08/30/2021,973,973,973,973,-10.5,-1.07%,0,726
08/27/2021,983.5,983.5,983.5,983.5,-9.25,-0.93%,0,726
08/26/2021,992.75,992.75,992.75,992.75,1.75,+0.18%,0,726
08/25/2021,991,991,991,991,13.25,+1.36%,0,726
08/24/2021,977.75,977.75,977.75,977.75,-6.25,-0.64%,0,726
08/23/2021,984,984,984,984,17.75,+1.84%,0,726
08/20/2021,966.25,966.25,966.25,966.25,5.75,+0.60%,12,726
08/19/2021,960.5,960.5,960.5,960.5,-11.25,-1.16%,0,738
08/18/2021,971.75,971.75,971.75,971.75,-22,-2.21%,0,738
08/17/2021,993.75,993.75,993.75,993.75,-3.75,-0.38%,0,738
08/16/2021,997.5,997.5,997.5,997.5,9.5,+0.96%,0,738
08/13/2021,988,988,988,988,5.5,+0.56%,0,738
08/12/2021,982.5,982.5,982.5,982.5,-2.25,-0.23%,0,738
08/11/2021,984.75,984.75,984.75,984.75,57.5,+6.20%,0,738
08/10/2021,927.25,927.25,927.25,927.25,0,0.00%,0,738
08/09/2021,927.25,927.25,927.25,927.25,-9.5,-1.01%,0,738
08/06/2021,936.75,936.75,936.75,936.75,18,+1.96%,0,738
08/05/2021,918.75,918.75,918.75,918.75,-13.25,-1.42%,0,738
08/04/2021,932,932,932,932,24,+2.64%,0,738
08/03/2021,908,908,908,908,7.25,+0.80%,0,738
08/02/2021,900.75,900.75,900.75,900.75,-47,-4.96%,0,738
07/30/2021,947.75,947.75,947.75,947.75,-14.5,-1.51%,80,738
07/29/2021,962.25,962.25,962.25,962.25,22.75,+2.42%,0,698
07/28/2021,939.5,939.5,939.5,939.5,-19,-1.98%,40,698
07/27/2021,958.5,958.5,958.5,958.5,11.5,+1.21%,0,678
07/26/2021,947,947,947,947,13.25,+1.42%,0,678
07/23/2021,933.75,933.75,933.75,933.75,25.5,+2.81%,0,678
07/22/2021,908.25,908.25,908.25,908.25,-12.25,-1.33%,40,678
07/21/2021,920.5,920.5,920.5,920.5,-8.5,-0.91%,0,638
07/20/2021,929,929,929,929,0,0.00%,0,638
07/19/2021,929,929,929,929,-5.25,-0.56%,0,638
07/16/2021,934.25,934.25,934.25,934.25,6.5,+0.70%,0,638
07/15/2021,927.75,927.75,927.75,927.75,25.5,+2.83%,0,638
07/14/2021,902.25,902.25,902.25,902.25,14.25,+1.60%,0,638
07/13/2021,888,888,888,888,21.5,+2.48%,0,638
07/12/2021,866.5,866.5,866.5,866.5,7,+0.81%,0,638
07/09/2021,859.5,859.5,859.5,859.5,10.5,+1.24%,0,638
07/08/2021,849,849,849,849,-12.25,-1.42%,0,638
07/07/2021,861.25,861.25,861.25,861.25,-10.25,-1.18%,0,638
07/06/2021,871.5,871.5,871.5,871.5,8.5,+0.98%,0,638
07/02/2021,863,863,863,863,15.75,+1.86%,0,638
07/01/2021,847.25,847.25,847.25,847.25,15.5,+1.86%,0,638
