Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/31/2019,698.5,698.5,698.5,698.5,-0.5,-0.07%,0,0
12/30/2019,699,699,699,699,1.5,+0.22%,0,686
12/27/2019,697.5,697.5,697.5,697.5,2.5,+0.36%,0,686
12/26/2019,695,695,695,695,4,+0.58%,0,686
12/24/2019,691,691,691,691,0.75,+0.11%,0,686
12/23/2019,690.25,690.25,690.25,690.25,-0.25,-0.04%,0,686
12/20/2019,690.5,690.5,690.5,690.5,3,+0.44%,0,686
12/19/2019,687.5,687.5,687.5,687.5,1.5,+0.22%,0,686
12/18/2019,686,686,686,686,-2,-0.29%,0,686
12/17/2019,688,688,688,688,0,0.00%,0,686
12/16/2019,688,688,688,688,3,+0.44%,0,686
12/13/2019,685,685,685,685,-4,-0.58%,0,686
12/12/2019,689,689,689,689,3,+0.44%,0,686
12/11/2019,686,686,686,686,-4.25,-0.62%,0,686
12/10/2019,690.25,690.25,690.25,690.25,0.25,+0.04%,0,686
12/09/2019,690,690,690,690,8.25,+1.21%,0,686
12/06/2019,681.75,681.75,681.75,681.75,9.5,+1.41%,0,686
12/05/2019,672.25,672.25,672.25,672.25,9.75,+1.47%,0,686
12/04/2019,662.5,662.5,662.5,662.5,4.75,+0.72%,0,686
12/03/2019,657.75,657.75,657.75,657.75,4,+0.61%,0,686
12/02/2019,653.75,653.75,653.75,653.75,-2.5,-0.38%,0,686
11/29/2019,656.25,656.25,656.25,656.25,12.75,+1.98%,0,686
11/27/2019,643.5,643.5,643.5,643.5,4,+0.63%,0,686
11/26/2019,639.5,639.5,639.5,639.5,-15.25,-2.33%,0,686
11/25/2019,654.75,654.75,654.75,654.75,-4,-0.61%,0,686
11/22/2019,658.75,658.75,658.75,658.75,18.5,+2.89%,0,686
11/21/2019,640.25,640.25,640.25,640.25,-5.25,-0.81%,37,686
11/20/2019,645.5,645.5,645.5,645.5,14.25,+2.26%,0,686
11/19/2019,631.25,631.25,631.25,631.25,5.25,+0.84%,0,686
11/18/2019,626,626,626,626,-2.25,-0.36%,79,686
11/15/2019,628.25,628.25,628.25,628.25,-6.5,-1.02%,0,686
11/14/2019,634.75,634.75,634.75,634.75,4,+0.63%,16,686
11/13/2019,630.75,630.75,630.75,630.75,-6,-0.94%,80,702
11/12/2019,636.75,636.75,636.75,636.75,-3.75,-0.59%,0,702
11/11/2019,640.5,640.5,640.5,640.5,10.5,+1.67%,352,702
11/08/2019,630,630,630,630,10.75,+1.74%,0,910
11/07/2019,619.25,619.25,619.25,619.25,-4.5,-0.72%,0,910
11/06/2019,623.75,623.75,623.75,623.75,10.5,+1.71%,0,910
11/05/2019,613.25,613.25,613.25,613.25,0.75,+0.12%,0,910
11/04/2019,612.5,612.5,612.5,612.5,18.25,+3.07%,0,910
11/01/2019,594.25,594.25,594.25,594.25,-4.25,-0.71%,200,910
10/31/2019,598.5,598.5,598.5,598.5,-5.5,-0.91%,0,910
10/30/2019,604,604,604,604,16.25,+2.76%,40,910
10/29/2019,587.75,587.75,587.75,587.75,6,+1.03%,0,870
10/28/2019,581.75,581.75,581.75,581.75,0,0.00%,0,870
10/25/2019,581.75,581.75,581.75,581.75,4,+0.69%,0,870
10/24/2019,577.75,577.75,577.75,577.75,15.25,+2.71%,0,870
10/23/2019,562.5,562.5,562.5,562.5,-0.25,-0.04%,0,870
10/22/2019,562.75,562.75,562.75,562.75,7.75,+1.40%,0,870
10/21/2019,555,555,555,555,-0.5,-0.09%,0,870
10/18/2019,555.5,555.5,555.5,555.5,7,+1.28%,0,870
10/17/2019,548.5,548.5,548.5,548.5,3.5,+0.64%,0,870
10/16/2019,545,545,545,545,8,+1.49%,0,870
10/15/2019,537,537,537,537,0,0.00%,40,870
10/14/2019,537,537,537,537,-5.75,-1.06%,0,830
10/11/2019,542.75,542.75,542.75,542.75,-0.75,-0.14%,100,830
10/10/2019,543.5,543.5,543.5,543.5,3.5,+0.65%,0,730
10/09/2019,540,540,540,540,3.5,+0.65%,40,730
10/08/2019,536.5,536.5,536.5,536.5,1,+0.19%,0,690
10/07/2019,535.5,535.5,535.5,535.5,0.25,+0.05%,0,690
10/04/2019,535.25,535.25,535.25,535.25,1,+0.19%,0,690
10/03/2019,534.25,534.25,534.25,534.25,1,+0.19%,100,690
10/02/2019,533.25,533.25,533.25,533.25,-4.75,-0.88%,0,590
10/01/2019,538,538,538,538,7.75,+1.46%,0,590
09/30/2019,530.25,530.25,530.25,530.25,-5.75,-1.07%,0,590
09/27/2019,536,536,536,536,-4.25,-0.79%,0,590
09/26/2019,540.25,540.25,540.25,540.25,7.5,+1.41%,0,590
09/25/2019,532.75,532.75,532.75,532.75,0.75,+0.14%,0,590
09/24/2019,532,532,532,532,-7.75,-1.44%,40,590
09/23/2019,539.75,539.75,539.75,539.75,-8.25,-1.51%,10,550
09/20/2019,548,548,548,548,-2,-0.36%,0,550
09/19/2019,550,550,550,550,-3,-0.54%,0,550
09/18/2019,553,553,553,553,-4.75,-0.85%,0,550
09/17/2019,557.75,557.75,557.75,557.75,14,+2.57%,0,550
09/16/2019,543.75,543.75,543.75,543.75,0,0.00%,0,550
09/13/2019,543.75,543.75,543.75,543.75,-1,-0.18%,10,550
09/12/2019,544.75,544.75,544.75,544.75,-4.25,-0.77%,0,540
09/11/2019,549,549,549,549,-5,-0.90%,0,540
09/10/2019,554,554,554,554,7,+1.28%,0,540
09/09/2019,547,547,547,547,0,0.00%,0,540
09/06/2019,547,547,547,547,5,+0.92%,0,540
09/05/2019,542,542,542,542,2.25,+0.42%,0,540
09/04/2019,539.75,539.75,539.75,539.75,5.25,+0.98%,0,540
09/03/2019,534.5,534.5,534.5,534.5,-8.5,-1.57%,0,540
08/30/2019,543,543,543,543,4.75,+0.88%,0,540
08/29/2019,538.25,538.25,538.25,538.25,-9.25,-1.69%,0,540
