,Time,cuf19,cug19,cuh19,cuj19,cuk19,cum19,cun19,cuq19,cuu19,cuv19,cux19,cuz19,cuf20,cug20,cuh20,cuj20,cuk20,cum20,cun20,cuq20,cuu20,cuv20,cux20,cuz20,cuf21,cug21,cuh21,cuj21,cuk21,cum21,cun21,cuq21,cuu21,cuv21,cux21,cuz21,cuf22,cug22,cuh22,cuj22,cuk22,cum22,cun22,cuq22,cuu22,cuv22,cux22,cuz22,cuf23,cug23,cuh23,cuj23,cuk23,cum23,cun23,cuq23
592,2016-09-22,621.5,621.0,620.5,620.0,619.5,619.0,618.5,618.0,617.5,617.0,616.5,616.0,615.5,615.0,614.5,614.0,613.5,613.0,612.5,612.0,611.5,611.0,610.5,610.0,609.5,609.0,608.5,608.0,607.5,607.0,606.5,606.0,,,,,,,,,,,,,,,,,,,,,,,,
591,2016-09-23,621.0,620.5,620.0,619.5,619.0,618.5,618.0,617.5,617.0,616.5,616.0,615.5,615.0,614.5,614.0,613.5,613.0,612.5,612.0,611.5,611.0,610.5,610.0,609.5,609.0,608.5,608.0,607.5,607.0,606.5,606.0,605.5,,,,,,,,,,,,,,,,,,,,,,,,
590,2016-09-26,614.25,613.5,612.75,612.0,611.25,610.5,609.75,609.0,608.25,607.5,606.75,606.0,605.25,604.5,603.75,603.0,602.25,601.5,600.75,600.0,599.25,598.5,597.75,597.0,596.25,595.5,594.75,594.0,593.25,592.5,591.75,591.0,,,,,,,,,,,,,,,,,,,,,,,,
589,2016-09-27,609.5,609.0,608.5,608.0,607.5,607.0,606.5,606.0,605.5,605.0,604.5,604.0,603.5,603.0,602.5,602.0,601.5,601.0,600.5,600.0,599.5,599.0,598.5,598.0,597.5,597.0,596.5,596.0,595.5,595.0,594.5,594.0,,,,,,,,,,,,,,,,,,,,,,,,
588,2016-09-28,600.0,599.25,598.5,597.75,597.0,596.25,595.5,594.75,594.0,593.25,592.5,591.75,591.0,590.25,589.5,588.75,588.0,587.25,586.5,585.75,585.0,584.25,583.5,582.75,582.0,581.25,580.5,579.75,579.0,578.25,577.5,576.75,,,,,,,,,,,,,,,,,,,,,,,,
587,2016-09-29,605.75,605.0,604.25,603.5,602.75,602.0,601.25,600.5,599.75,599.0,598.25,597.5,596.75,596.0,595.25,594.5,593.75,593.0,592.25,591.5,590.75,590.0,589.25,588.5,587.75,587.0,586.25,585.5,584.75,584.0,583.25,582.5,,,,,,,,,,,,,,,,,,,,,,,,
586,2016-09-30,612.0,611.5,611.0,610.5,610.0,609.5,609.0,608.5,608.0,607.5,607.0,606.5,606.0,605.5,605.0,604.5,604.0,603.5,603.0,602.5,602.0,601.5,601.0,600.5,600.0,599.5,599.0,598.5,598.0,597.5,597.0,596.5,,,,,,,,,,,,,,,,,,,,,,,,
585,2016-10-03,613.75,613.0,612.25,611.5,610.75,610.0,609.25,608.5,607.75,607.0,606.25,605.5,604.75,604.0,603.25,602.5,601.75,601.0,600.25,599.5,598.75,598.0,597.25,596.5,595.75,595.0,594.25,593.5,592.75,592.0,591.25,590.5,,,,,,,,,,,,,,,,,,,,,,,,
584,2016-10-04,607.0,606.25,605.5,604.75,604.0,603.25,602.5,601.75,601.0,600.25,599.5,598.75,598.0,597.25,596.5,595.75,595.0,594.25,593.5,592.75,592.0,591.25,590.5,589.75,589.0,588.25,587.5,586.75,586.0,585.25,584.5,583.75,583.0,,,,,,,,,,,,,,,,,,,,,,,
583,2016-10-05,604.5,604.0,603.5,603.0,602.5,602.0,601.5,601.0,600.5,600.0,599.5,599.0,598.5,598.0,597.5,597.0,596.5,596.0,595.5,595.0,594.5,594.0,593.5,593.0,592.5,592.0,591.5,591.0,590.5,590.0,589.5,589.0,588.5,,,,,,,,,,,,,,,,,,,,,,,
