Time	future_price
2016-09-22	621.5
2016-09-23	621
2016-09-26	614.25
2016-09-27	609.5
2016-09-28	600
2016-09-29	605.75
2016-09-30	612
2016-10-03	613.75
2016-10-04	607
2016-10-05	604.5
2016-10-06	607.5
2016-10-07	616.5
2016-10-10	614
2016-10-11	623.25
2016-10-12	629.25
2016-10-13	623.5
2016-10-14	628
2016-10-17	647
2016-10-18	639.5
2016-10-19	642.5
2016-10-20	636.25
2016-10-21	635
2016-10-24	649.5
2016-10-25	636.25
2016-10-26	643.75
2016-10-27	634.75
2016-10-28	637.25
2016-10-31	631.25
2016-11-01	629
2016-11-02	632.5
2016-11-03	629
2016-11-04	628
2016-11-07	634
2016-11-08	645.25
2016-11-09	638
2016-11-10	637.25
2016-11-11	611.75
2016-11-14	598.75
2016-11-15	594.25
2016-11-16	602
2016-11-17	606.5
2016-11-18	635.25
2016-11-21	614.25
2016-11-22	611.5
2016-11-23	600.75
2016-11-25	613.25
2016-11-28	623.75
2016-11-29	624
2016-11-30	626.75
2016-12-01	632.75
2016-12-02	631.5
2016-12-05	639.75
2016-12-06	648.75
2016-12-07	639.75
2016-12-08	634.25
2016-12-09	635.75
2016-12-12	635.75
2016-12-13	636.5
2016-12-14	635
2016-12-15	635
2016-12-16	635
2016-12-19	627
2016-12-20	626
2016-12-21	620.5
2016-12-22	611.75
2016-12-23	605.25
2016-12-27	615.5
2016-12-28	605.5
2016-12-29	610.25
2016-12-30	615.25
2017-01-03	617.25
2017-01-04	609.75
2017-01-05	616
2017-01-06	608.5
2017-01-09	609.75
2017-01-10	607.25
2017-01-11	617
2017-01-12	619
2017-01-13	627.25
2017-01-17	635.25
2017-01-18	626.25
2017-01-19	629
2017-01-20	625.5
2017-01-24	630.5
2017-01-25	624.25
2017-01-26	621.75
2017-01-27	614.5
2017-01-30	614.5
2017-01-31	602.75
2017-02-01	602.75
2017-02-02	614.25
2017-02-03	605.25
2017-02-06	606.25
2017-02-07	602
2017-02-08	604.25
2017-02-09	604.25
2017-02-10	601.5
2017-02-13	595.25
2017-02-14	596.5
2017-02-15	596
2017-02-16	587.75
2017-02-17	575.5
2017-02-21	564.75
2017-02-22	570.5
2017-02-23	574.75
2017-02-24	581
2017-02-27	578.25
2017-02-28	582.75
2017-03-01	596.25
2017-03-02	602.25
2017-03-03	593
2017-03-06	597.75
2017-03-07	590.75
2017-03-08	598
2017-03-09	592.75
2017-03-10	580
2017-03-13	558.5
2017-03-14	566.75
2017-03-15	579.25
2017-03-16	576.75
2017-03-17	578
2017-03-20	573.25
2017-03-21	580.5
2017-03-22	583
2017-03-23	572.5
2017-03-24	571.25
2017-03-27	561.25
2017-03-28	561.25
2017-03-29	564.5
2017-03-30	557.75
2017-03-31	554.5
2017-04-03	554
2017-04-04	549.5
