,Time,cuf19_x,cug19_x,cuh19_x,cuj19_x,cuk19_x,cum19_x,cun19_x,cuq19_x,cuu19_x,cuv19_x,cux19_x,cuz19_x,cuf20_x,cug20_x,cuh20_x,cuj20_x,cuk20_x,cum20_x,cun20_x,cuq20_x,cuu20_x,cuv20_x,cux20_x,cuz20_x,cuf21_x,cug21_x,cuh21_x,cuj21_x,cuk21_x,cum21_x,cun21_x,cuq21_x,cuu21_x,cuv21_x,cux21_x,cuz21_x,cuf22_x,cug22_x,cuh22_x,cuj22_x,cuk22_x,cum22_x,cun22_x,cuq22_x,cuu22_x,cuv22_x,cux22_x,cuz22_x,cuf23_x,cug23_x,cuh23_x,cuj23_x,cuk23_x,cum23_x,cun23_x,cuq23_x,cuf19_y,cug19_y,cuh19_y,cuj19_y,cuk19_y,cum19_y,cun19_y,cuq19_y,cuu19_y,cuv19_y,cux19_y,cuz19_y,cuf20_y,cug20_y,cuh20_y,cuj20_y,cuk20_y,cum20_y,cun20_y,cuq20_y,cuu20_y,cuv20_y,cux20_y,cuz20_y,cuf21_y,cug21_y,cuh21_y,cuj21_y,cuk21_y,cum21_y,cun21_y,cuq21_y,cuu21_y,cuv21_y,cux21_y,cuz21_y,cuf22_y,cug22_y,cuh22_y,cuj22_y,cuk22_y,cum22_y,cun22_y,cuq22_y,cuu22_y,cuv22_y,cux22_y,cuz22_y,cuf23_y,cug23_y,cuh23_y,cuj23_y,cuk23_y,cum23_y,cun23_y,cuq23_y
0,01/31/2019,538.75,562.75,568.5,569.25,568.75,568.75,566.75,566.5,567.0,570.5,573.25,575.75,578.0,577.75,577.5,577.0,576.75,574.75,573.0,572.5,572.0,571.75,571.25,570.75,570.5,570.0,569.75,569.25,568.75,568.5,568.0,567.5,567.25,566.75,566.5,565.75,565.0,564.25,563.5,562.75,562.0,561.25,560.5,559.75,559.0,558.25,557.5,556.75,556.0,555.25,554.5,553.75,553.0,552.25,551.5,550.75,538.75,562.75,568.5,569.25,568.75,568.75,566.75,566.5,567.0,570.5,573.25,575.75,578.0,577.75,577.5,577.0,576.75,574.75,573.0,572.5,572.0,571.75,571.25,570.75,570.5,570.0,569.75,569.25,568.75,568.5,568.0,567.5,567.25,566.75,566.5,565.75,565.0,564.25,563.5,562.75,562.0,561.25,560.5,559.75,559.0,558.25,557.5,556.75,556.0,555.25,554.5,553.75,553.0,552.25,551.5,550.75
1,01/30/2019,538.75,560.5,566.0,566.25,565.75,565.5,565.25,564.5,564.0,567.75,570.5,572.0,573.25,573.25,573.0,572.5,572.25,570.25,568.5,568.0,567.5,567.25,566.75,566.25,566.0,565.5,565.25,564.75,564.5,564.0,563.5,563.25,562.75,562.25,562.0,561.25,560.5,559.75,559.0,558.25,557.5,556.75,556.0,555.25,554.5,553.75,553.0,552.25,551.5,550.75,550.0,549.25,548.5,547.75,547.0,546.25,538.75,560.5,566.0,566.25,565.75,565.5,565.25,564.5,564.0,567.75,570.5,572.0,573.25,573.25,573.0,572.5,572.25,570.25,568.5,568.0,567.5,567.25,566.75,566.25,566.0,565.5,565.25,564.75,564.5,564.0,563.5,563.25,562.75,562.25,562.0,561.25,560.5,559.75,559.0,558.25,557.5,556.75,556.0,555.25,554.5,553.75,553.0,552.25,551.5,550.75,550.0,549.25,548.5,547.75,547.0,546.25
2,01/29/2019,538.5,558.5,564.25,565.25,565.25,563.5,563.25,561.75,561.25,565.0,567.75,569.25,570.75,570.75,570.75,570.5,570.25,568.5,566.75,566.5,566.25,566.0,565.75,565.5,565.25,565.0,564.75,564.5,564.25,563.75,563.5,563.25,563.0,562.75,562.5,561.75,561.0,560.25,559.5,558.75,558.0,557.25,556.5,555.75,555.0,554.25,553.5,552.75,552.0,551.25,550.5,549.75,549.0,548.25,547.5,546.75,538.5,558.5,564.25,565.25,565.25,563.5,563.25,561.75,561.25,565.0,567.75,569.25,570.75,570.75,570.75,570.5,570.25,568.5,566.75,566.5,566.25,566.0,565.75,565.5,565.25,565.0,564.75,564.5,564.25,563.75,563.5,563.25,563.0,562.75,562.5,561.75,561.0,560.25,559.5,558.75,558.0,557.25,556.5,555.75,555.0,554.25,553.5,552.75,552.0,551.25,550.5,549.75,549.0,548.25,547.5,546.75
3,01/28/2019,539.75,565.25,569.5,569.5,568.25,568.0,567.5,565.25,565.5,568.5,572.75,574.75,576.75,577.25,577.75,578.25,578.5,577.25,576.0,576.25,576.5,577.0,577.25,577.5,577.75,578.0,578.25,578.5,578.75,579.25,579.5,579.75,580.0,580.25,580.5,579.75,579.0,578.25,577.5,576.75,576.0,575.25,574.5,573.75,573.0,572.25,571.5,570.75,570.0,569.25,568.5,567.75,567.0,566.25,565.5,564.75,539.75,565.25,569.5,569.5,568.25,568.0,567.5,565.25,565.5,568.5,572.75,574.75,576.75,577.25,577.75,578.25,578.5,577.25,576.0,576.25,576.5,577.0,577.25,577.5,577.75,578.0,578.25,578.5,578.75,579.25,579.5,579.75,580.0,580.25,580.5,579.75,579.0,578.25,577.5,576.75,576.0,575.25,574.5,573.75,573.0,572.25,571.5,570.75,570.0,569.25,568.5,567.75,567.0,566.25,565.5,564.75
4,01/25/2019,537.5,555.25,560.75,562.25,561.75,561.5,561.75,560.5,559.75,563.25,566.75,568.0,569.5,569.25,569.25,568.75,568.25,566.5,564.75,564.25,563.75,563.5,563.0,562.5,562.25,561.75,561.5,561.0,560.75,560.25,559.75,559.5,559.0,558.75,558.25,557.5,556.75,556.0,555.25,554.5,553.75,553.0,552.25,551.5,550.75,550.0,549.25,548.5,547.75,547.0,546.25,545.5,544.75,544.0,543.25,542.5,537.5,555.25,560.75,562.25,561.75,561.5,561.75,560.5,559.75,563.25,566.75,568.0,569.5,569.25,569.25,568.75,568.25,566.5,564.75,564.25,563.75,563.5,563.0,562.5,562.25,561.75,561.5,561.0,560.75,560.25,559.75,559.5,559.0,558.75,558.25,557.5,556.75,556.0,555.25,554.5,553.75,553.0,552.25,551.5,550.75,550.0,549.25,548.5,547.75,547.0,546.25,545.5,544.75,544.0,543.25,542.5
5,01/24/2019,537.75,555.0,559.5,560.25,559.75,559.5,559.75,559.0,558.25,562.0,565.5,566.75,568.25,568.0,567.75,567.5,567.0,565.25,563.25,563.0,562.5,562.0,561.75,561.25,561.0,560.5,560.0,559.75,559.25,559.0,558.5,558.0,557.75,557.25,557.0,556.25,555.5,554.75,554.0,553.25,552.5,551.75,551.0,550.25,549.5,548.75,548.0,547.25,546.5,545.75,545.0,544.25,543.5,542.75,542.0,541.25,537.75,555.0,559.5,560.25,559.75,559.5,559.75,559.0,558.25,562.0,565.5,566.75,568.25,568.0,567.75,567.5,567.0,565.25,563.25,563.0,562.5,562.0,561.75,561.25,561.0,560.5,560.0,559.75,559.25,559.0,558.5,558.0,557.75,557.25,557.0,556.25,555.5,554.75,554.0,553.25,552.5,551.75,551.0,550.25,549.5,548.75,548.0,547.25,546.5,545.75,545.0,544.25,543.5,542.75,542.0,541.25
6,01/23/2019,536.75,551.75,556.25,556.5,555.75,555.5,556.25,555.5,556.0,559.5,563.0,564.0,565.25,565.0,564.75,564.25,564.0,562.0,560.25,559.75,559.25,558.75,558.5,558.0,557.5,557.25,556.75,556.25,556.0,555.5,555.0,554.5,554.25,553.75,553.25,552.5,551.75,551.0,550.25,549.5,548.75,548.0,547.25,546.5,545.75,545.0,544.25,543.5,542.75,542.0,541.25,540.5,539.75,539.0,538.25,537.5,536.75,551.75,556.25,556.5,555.75,555.5,556.25,555.5,556.0,559.5,563.0,564.0,565.25,565.0,564.75,564.25,564.0,562.0,560.25,559.75,559.25,558.75,558.5,558.0,557.5,557.25,556.75,556.25,556.0,555.5,555.0,554.5,554.25,553.75,553.25,552.5,551.75,551.0,550.25,549.5,548.75,548.0,547.25,546.5,545.75,545.0,544.25,543.5,542.75,542.0,541.25,540.5,539.75,539.0,538.25,537.5
7,01/22/2019,535.5,546.75,552.5,552.75,551.5,550.5,551.25,550.5,550.75,554.5,557.75,560.0,562.25,562.5,562.5,562.0,561.75,559.75,558.0,557.5,557.0,556.5,556.0,555.75,555.25,554.75,554.25,554.0,553.5,553.0,552.75,552.25,551.75,551.25,551.0,550.25,549.5,548.75,548.0,547.25,546.5,545.75,545.0,544.25,543.5,542.75,542.0,541.25,540.5,539.75,539.0,538.25,537.5,536.75,536.0,535.25,535.5,546.75,552.5,552.75,551.5,550.5,551.25,550.5,550.75,554.5,557.75,560.0,562.25,562.5,562.5,562.0,561.75,559.75,558.0,557.5,557.0,556.5,556.0,555.75,555.25,554.75,554.25,554.0,553.5,553.0,552.75,552.25,551.75,551.25,551.0,550.25,549.5,548.75,548.0,547.25,546.5,545.75,545.0,544.25,543.5,542.75,542.0,541.25,540.5,539.75,539.0,538.25,537.5,536.75,536.0,535.25
8,01/18/2019,532.75,541.0,546.75,547.5,547.0,547.0,546.5,545.5,544.75,548.25,551.75,554.75,557.5,557.75,558.0,557.75,557.25,555.5,553.75,553.5,553.0,552.75,552.25,552.0,551.75,551.25,551.0,550.5,550.25,550.0,549.5,549.25,548.75,548.5,548.25,547.5,546.75,546.0,545.25,544.5,543.75,543.0,542.25,541.5,540.75,540.0,539.25,538.5,537.75,537.0,536.25,535.5,534.75,534.0,533.25,532.5,532.75,541.0,546.75,547.5,547.0,547.0,546.5,545.5,544.75,548.25,551.75,554.75,557.5,557.75,558.0,557.75,557.25,555.5,553.75,553.5,553.0,552.75,552.25,552.0,551.75,551.25,551.0,550.5,550.25,550.0,549.5,549.25,548.75,548.5,548.25,547.5,546.75,546.0,545.25,544.5,543.75,543.0,542.25,541.5,540.75,540.0,539.25,538.5,537.75,537.0,536.25,535.5,534.75,534.0,533.25,532.5
9,01/17/2019,530.0,534.5,540.75,542.25,541.5,542.0,541.0,541.25,540.5,544.0,547.25,549.75,552.5,552.5,552.5,552.25,551.75,551.5,551.25,551.0,550.5,550.25,550.0,549.75,549.25,549.0,548.75,548.5,548.25,547.75,547.5,547.25,547.0,546.75,546.25,545.5,544.75,544.0,543.25,542.5,541.75,541.0,540.25,539.5,538.75,538.0,537.25,536.5,535.75,535.0,534.25,533.5,532.75,532.0,531.25,530.5,530.0,534.5,540.75,542.25,541.5,542.0,541.0,541.25,540.5,544.0,547.25,549.75,552.5,552.5,552.5,552.25,551.75,551.5,551.25,551.0,550.5,550.25,550.0,549.75,549.25,549.0,548.75,548.5,548.25,547.75,547.5,547.25,547.0,546.75,546.25,545.5,544.75,544.0,543.25,542.5,541.75,541.0,540.25,539.5,538.75,538.0,537.25,536.5,535.75,535.0,534.25,533.5,532.75,532.0,531.25,530.5
