trade_day,cuf19,cug19,cuh19,cuj19,cuk19,cum19,cun19,cuq19,cuu19,cuv19,cux19,cuz19,cuf20,cug20,cuh20,cuj20,cuk20,cum20,cun20,cuq20,cuu20,cuv20,cux20,cuz20,cuf21,cug21,cuh21,cuj21,cuk21,cum21,cun21,cuq21,cuu21,cuv21,cux21,cuz21,cuf22,cug22,cuh22,cuj22,cuk22,cum22,cun22,cuq22,cuu22,cuv22,cux22,cuz22,cuf23,cug23,cuh23,cuj23,cuk23,cum23,cun23,cuq23
1,523.5,562.75,537.5,518.5,507,484.75,474,498.25,516.25,517,589.5,653.75,766,635.5,551.75,535.75,481,527.75,541.75,640,667.75,668.5,707,812.75,915,845.75,891.5,883,962.75,936.25,882.75,958,996.75,1066.75,1177.5,1087.5,1142,1313,1550,1299.75,1588.5,1427.5,1066.25,915.5,893,741,897,926.5,964.5,897.25,929.5,868.5,747.25,711.75,852.75,859.5
2,519.25,563.75,528,526.75,491.25,491.75,475.25,496.75,519,511,607.75,657.75,760.5,647.5,565,523.75,456.5,543,549.25,650.5,673.75,648,726.25,805.25,919.5,823.25,881.75,883.25,958.75,982.5,900.5,962.25,1009.75,1087.75,1178.5,1074,1150,1313,1537.75,1322.5,1588.5,1444.75,954,867.75,876.75,781.5,928.75,901.75,945.25,887.5,955.5,888.75,762.25,734.75,833,865
3,524.5,563.75,530.25,531.75,485.5,491.75,472.75,501.25,520.25,510.5,605.25,662.5,743,676.75,592.75,514,457.5,559,555.75,642,691.5,651.5,729.25,807,945.25,786.75,890.5,897.75,956.5,995,917.25,992,1024.5,1119,1198.25,1074,1174.25,1297.25,1581.25,1370.5,1588.5,1447,930.5,870.75,852.5,787,917.25,911.75,931,902.25,967.75,870.5,762.5,734.75,839.5,843.25
4,524.75,563.75,528.25,538.25,479.25,491.75,474,501.25,525.25,513.5,615.5,672.25,744.25,686,600.75,512.5,452.5,543.5,550.75,653.25,679,672.75,754,829.5,934,801.5,899.75,906.75,991.25,989,905.75,979.5,1042.25,1145.75,1198.25,1095.25,1161,1322.25,1485.25,1371.25,1509.25,1447,948.5,861.25,832,798,923.5,934.25,925.25,902.25,955.75,859.75,762.5,721.25,826.25,851.75
5,528.75,567,524,542,490.75,487.75,470.25,501.25,525.25,515,609,681.75,742.25,677.25,584.75,527,452.5,548.5,557.75,651.75,683.5,681,752.25,818.75,932.5,807.25,898.75,893.25,1029,989,898,993.75,1055.5,1141,1156.25,1130.5,1162.75,1307.5,1543,1357.75,1434.25,1455.5,951.25,871.5,808.75,819,935.25,908.5,941.75,913.5,940,858.25,799.5,721,840.5,836
6,529,562.75,521.5,536,490.25,480.75,469.75,508,529.75,517.75,617.25,690,757.75,664.75,560.5,534.75,467,548.5,557.75,642.5,672.75,684.5,763.25,814.25,927.25,818.25,922.25,886.75,1019.25,976.5,915.25,981.25,1042.75,1162,1160.25,1115.25,1169.5,1292.5,1509.75,1375.5,1437.5,1451.25,951.25,903.5,818.25,819,923.25,902.75,921,925.5,929.25,863.75,830,710.75,835.25,818.5
7,527,558.25,520.75,538.25,484.25,483,469,515.25,526.5,520.75,627.25,690.25,763,655.75,560,527,467,556,558.25,631.5,673.5,688.5,769.5,813.5,906,841,923.25,868,1014,945,913.5,981.25,1025.25,1162.75,1140,1106.25,1179,1317,1611.75,1386.5,1421.5,1408,941.25,912.75,829.75,792.75,898.75,913.25,908.25,919.75,931.25,849,832,727.5,842,830.5
8,528.5,555,521,531,480,476.25,471,515.25,524.25,521.75,623.25,686,758.25,658.75,561.75,521.75,459.5,548,561.75,637.75,674,702.5,784.25,821.5,908.25,851.25,933.25,879.25,1036,940.5,929,1029,1030.75,1146.75,1161.25,1107.25,1177.75,1305.5,1579.25,1412.25,1448.25,1359.75,889.5,910.5,859.25,798.5,898.25,870,909.5,909.25,913.75,843.75,816.75,723.5,839,824.5
9,523.25,555.5,516.5,527.25,480,482.5,472.25,519.75,525.25,520,619.5,689,745.75,645.75,548.5,522,465.5,552.5,571,642.75,686.5,702.25,789,823.25,886.75,839.25,947.5,880.25,1036,912.5,934.5,1025.5,1032.25,1171.75,1153,1106.25,1197,1309,1539,1407.75,1426,1339.25,866.25,934.25,854,788,922.75,888.5,903.5,904.25,908.5,842,798.75,732.5,849.75,822.75
10,524.5,559.75,513,528,484.25,482.5,474.5,521.25,525.25,516.75,621.75,685,735.25,650.25,546.75,522.25,465.25,549,578.5,639,693.5,700.5,788,831.5,874.75,839.25,958.25,890.25,1036,873.25,953.75,1029.25,1042.5,1153.75,1159.5,1088.25,1192,1321.5,1498.75,1430,1425.5,1348.5,866.75,954.25,837.75,807.25,907.25,899.25,898.75,909.75,901.75,846.75,802.25,736.5,851.25,816.75
